"contributor","institute","sub.period","file"
"??","WUR","3","../../data-submitted/03/WUR/WUR_arable_2024.xlsx"
"??","WUR","3","../../data-submitted/03/WUR/WUR_grass_2024.xlsx"
"Adani, Fabrizio","","3",NA
"Andersson, Karin","Swedish University of Agricultural Sciences","3","../../data-submitted/03/AU/ALFAM2_template_8.3_SLU26.xlsx"
"Bittman, Shabtai","","2",NA
"Burchill, William","","2",NA
"Bussink, Wim","Wageningen University and Research","1, 2",NA
"Carozzi, Marco","","2, 3",NA
"Carton, Owen T.","Teagasc","1",NA
"Chantigny, Martin","","2",NA
"Décuq, Céline","INRAE","3","../../data-submitted/03/INRAE/ALFAM2_template_8.0_META_METHA_Vf_v4.xlsx"
"Dela Pierre, Flavia","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_27_Jan.xlsx"
"Dela Pierre, Flavia","Aarhus University","3",NA
"Delin, Sofia","Swedish University of Agricultural Sciences","3","../../data-submitted/03/AU/ALFAM2_template_8.3_SLU26.xlsx"
"Derek Hunt","Agassiz Research and Development Center, BC, Canada","3","../../data-submitted/03/AU/ALFAM2_template_5_2_210929_JP_CanadianData.xlsx"
"Döhler, Helmut","","1",NA
"Essich, Christoph","Institute of Crop Science, Department “Fertilization and Soil Matter Dynamics”, University of Hohenheim","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
"Ester Scotto di Perta","Department of Agricultural Sciences, University of Naples, Federico II","3","../../data-submitted/03/UNINA/ALFAM2_UNINA_5_6_1_ver6.xlsx"
"Fabrizio Adani","Gruppo Ricicla labs, DiSAA-Università degli Studi di Milano, Via Celoria 2, 20133 Milan, Italy","3","../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx"
"Feilberg, Anders","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_Aug_5_5_b.xlsx"
"Feilberg, Anders","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_May_5_6_a.xlsx"
"Feilberg, Anders","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx"
"Feilberg, Anders","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_19G20AB.xlsx"
"Feilberg, Anders","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_7.0_22HIJK_240208.xlsx"
"Feilberg, Anders","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_27_Jan.xlsx"
"Flessa, Heinz","Thünen Institute of Climate-Smart Agriculture, Federal Research Institute for Rural Areas, Forestry and Fisheries","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
"Génermont, Sophie","","1, 2",NA
"Götze, Hannah","Thünen Institute for Climate-Smart Agriculture, Braunschweig, Germany","3","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
"Hafner, Sasha","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx"
"Hafner, Sasha","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx"
"Hafner, Sasha","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx"
"Hafner, Sasha","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_8.2_MAGspring24_240901.xlsx"
"Hafner, Sasha D.","Aarhus University","1, 2, 3",NA
"Häni, Christoph","Bern University of Applied Sciences","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_Aug_5_5_b.xlsx"
"Häni, Christoph","Bern University of Applied Sciences","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_May_5_6_a.xlsx"
"Häni, Christoph","","2",NA
"Hansen, Martin N.","","2",NA
"Houot, Sabine","INRAE","3","../../data-submitted/03/INRAE/ALFAM2_template_8.0_META_METHA_Vf_v4.xlsx"
"Huijsmans, Jan","Wageningen University and Research, Wageningen, The Netherlands","3","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
"Huijsmans, Jan","Wageningen University and Research","1, 2",NA
"Hunt, Derek","","2",NA
"Hutchings, Nicholas, J.","Aarhus University","1",NA
"Kamp, Jesper","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx"
"Kamp, Jesper Nørlem","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_Aug_5_5_b.xlsx"
"Kamp, Jesper Nørlem","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_May_5_6_a.xlsx"
"Kamp, Jesper Nørlem","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_27_Jan.xlsx"
"Kamp, Jesper Nørlem","Aarhus University, Department of Biological and Chemical Engineering","3","../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx"
"Kamp, Jesper Nørlem","","3",NA
"Kluß, Christof","Institute of Crop Science and Plant Breeding, Grass and Forage Science/Organic Agriculture, Christian-Albrechts-University Kiel","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
"Kupper, Thomas","","2",NA
"Lanigan, Gary","","2",NA
"Lemes, Yolanda Maria","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx"
"Loubet, Benjamin","INRAE","3","../../data-submitted/03/INRAE/ALFAM2_template_8.0_META_METHA_Vf_v4.xlsx"
"Loubet, Benjamin","","2",NA
"Marco Carozzi","INRAE, Thiverval-Grignon, France","3","../../data-submitted/03/UNINI/ALFAM2_template_6.1_ARMOSA2013_V1.xlsx"
"Martin Nørregård Hansen","SEGES, Aarhus, Denmark","3","../../data-submitted/03/AU/ALFAM2_template_6.1 SGS(Rev).xlsx"
"Martinez, Jose","","1",NA
"Massimo Zilio","Gruppo Ricicla labs, DiSAA-Università degli Studi di Milano, Via Celoria 2, 20133 Milan, Italy","3","../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx"
"Meisinger, John J.","","2",NA
"Menzi, Harald","","1",NA
"Misselbrook, Tom","","1, 2",NA
"Moinard,Victor","INRAE","3","../../data-submitted/03/INRAE/ALFAM2_template_8.0_META_METHA_Vf_v4.xlsx"
"Morken, John","","1",NA
"Neftel, Albrecht","","2",NA
"Nicholson, Fiona A.","","1",NA
"Nyameasem, John Kormla","Institute of Crop Science and Plant Breeding, Grass and Forage Science/Organic Agriculture, Christian-Albrechts-University Kiel","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
"Nyord, Tavs","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_Aug_5_5_b.xlsx"
"Nyord, Tavs","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_May_5_6_a.xlsx"
"Nyord, Tavs","Aarhus Universitet","3","../../data-submitted/03/AU/ALFAM2_template_5_2_211012_JP_18ABC.xlsx"
"Nyord, Tavs","Aarhus Universitet","3","../../data-submitted/03/AU/ALFAM2_template_5_2_211012_JP_18GHI.xlsx"
"Nyord, Tavs","Aarhus Universitet","3","../../data-submitted/03/AU/ALFAM2_template_5_2_211012_JP_18KLRS.xlsx"
"Nyord, Tavs","Aarhus Universitet","3","../../data-submitted/03/AU/ALFAM2_template_5_2_211012_JP_18NOP.xlsx"
"Nyord, Tavs","Aarhus Universitet","3","../../data-submitted/03/AU/ALFAM2_template_5_2_211012_JP_19BCHI.xlsx"
"Nyord, Tavs","Aarhus Universitet","3","../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx"
"Nyord, Tavs","Aarhus Universitet","3","../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx"
"Nyord, Tavs","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_18EF.xlsx"
"Nyord, Tavs","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_6_1_230726_JP_19G20AB.xlsx"
"Nyord, Tavs","","2",NA
"Olfs, Hans-Werner","Faculty of Agricultural Sciences and Landscape Architecture, University of Applied Sciences Osnabrück","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
"Pacholski, Andreas","Thünen Institute for Climate-Smart Agriculture, Braunschweig, Germany","3","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
"Pacholski, Andreas","Thünen Institute","3","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx"
"Pacholski, Andreas","Thünen Institute","3","../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx"
"Pacholski, Andreas","Thünen Institute","3","../../data-submitted/03/AU/ALFAM2_template_8.2_MAGspring24_240901.xlsx"
"Pacholski, Andreas","","2",NA
"Pain, Brian","","1",NA
"Pedersen, Johanna","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_7.0_22HIJK_240208.xlsx"
"Pedersen, Johanna","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx"
"Pedersen, Johanna","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx"
"Pedersen, Johanna","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_8.2_MAGspring24_240901.xlsx"
"Pedersen, Johanna","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_8.3_SLU26.xlsx"
"Pedersen, Johanna","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_27_Jan.xlsx"
"Pedersen, Johanna","Aarhus University, Department of Biological and Chemical Engineering","3","../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx"
"Pedersen, Johanna","","3",NA
"Reinsch, Thorsten","Institute of Crop Science and Plant Breeding, Grass and Forage Science/Organic Agriculture, Christian-Albrechts-University Kiel","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
"Rodhe, Lena","","1",NA
"Ruser, Reiner","Institute of Crop Science, Department “Fertilization and Soil Matter Dynamics”, University of Hohenheim","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
"Savoie, Antoine","INRAE","3","../../data-submitted/03/INRAE/ALFAM2_template_8.0_META_METHA_Vf_v4.xlsx"
"Scotto di Perta, Ester","","3",NA
"Shabtai Bittman","Agassiz Research and Development Center, BC, Canada","3","../../data-submitted/03/AU/ALFAM2_template_5_2_210929_JP_CanadianData.xlsx"
"Sintermann, Jörg","","2",NA
"Smith, Ken","","1",NA
