contributor
"Adani, Fabrizio"
"Bittman, Shabtai"
"Burchill, William"
"Bussink, Wim"
"Carozzi, Marco"
"Carton, Owen T."
"Chantigny, Martin"
"Dela Pierre, Flavia"
"Döhler, Helmut"
"Feilberg, Anders"
"Génermont, Sophie"
"Hafner, Sasha D."
"Hansen, Martin N."
"Huijsmans, Jan"
"Hunt, Derek"
"Hutchings, Nicholas, J."
"Häni, Christoph"
"Kamp, Jesper Nørlem"
"Kupper, Thomas"
"Lanigan, Gary"
"Loubet, Benjamin"
"Martinez, Jose"
"Meisinger, John J."
"Menzi, Harald"
"Misselbrook, Tom"
"Morken, John"
"Neftel, Albrecht"
"Nicholson, Fiona A."
"Nyord, Tavs"
"Pacholski, Andreas"
"Pain, Brian"
"Pedersen, Johanna"
"Rodhe, Lena"
"Scotto di Perta, Ester"
"Sintermann, Jörg"
"Smith, Ken"
"Sommer, Sven G."
"Thomson, Rodney B."
"Valli, Laura"
"Vermeulen, Bert"
"Vestergaard, Annette V."
"Vilms Pedersen, Simon"
"Voylokov, Polina"
"Williams, John R."
"Zilio, Massimo"
