Start;End;SoilTemp
15/05/2003 12:00;15/05/2003 13:00;23.104
15/05/2003 13:00;15/05/2003 14:00;23.378
15/05/2003 14:00;15/05/2003 15:00;22.988
15/05/2003 15:00;15/05/2003 16:00;21.84
15/05/2003 16:00;15/05/2003 17:00;19.942
15/05/2003 17:00;15/05/2003 18:00;17.538
15/05/2003 18:00;15/05/2003 19:00;13.746
15/05/2003 19:00;15/05/2003 20:00;9.668
15/05/2003 20:00;15/05/2003 21:00;7.1698
15/05/2003 21:00;15/05/2003 22:00;6.2696
15/05/2003 22:00;15/05/2003 23:00;5.279
15/05/2003 23:00;16/05/2003 00:00;4.8732
16/05/2003 00:00;16/05/2003 01:00;4.1102
16/05/2003 01:00;16/05/2003 02:00;3.5736
16/05/2003 02:00;16/05/2003 03:00;2.1358
16/05/2003 03:00;16/05/2003 04:00;0.2042
16/05/2003 04:00;16/05/2003 05:00;-0.1626
16/05/2003 05:00;16/05/2003 06:00;0.0698
16/05/2003 06:00;16/05/2003 07:00;2.7124
16/05/2003 07:00;16/05/2003 08:00;8.9094
16/05/2003 08:00;16/05/2003 09:00;14.542
16/05/2003 09:00;16/05/2003 10:00;19.388
16/05/2003 10:00;16/05/2003 11:00;22.122
16/05/2003 11:00;16/05/2003 12:00;22.152
16/05/2003 12:00;16/05/2003 13:00;25.986
16/05/2003 13:00;16/05/2003 14:00;26.47
16/05/2003 14:00;16/05/2003 15:00;26.316
16/05/2003 15:00;16/05/2003 16:00;25.374
16/05/2003 16:00;16/05/2003 17:00;23.614
16/05/2003 17:00;16/05/2003 18:00;20.8
16/05/2003 18:00;16/05/2003 19:00;17.554
16/05/2003 19:00;16/05/2003 20:00;12.394
16/05/2003 20:00;16/05/2003 21:00;7.5806
16/05/2003 21:00;16/05/2003 22:00;5.755
16/05/2003 22:00;16/05/2003 23:00;4.625
16/05/2003 23:00;17/05/2003 00:00;3.685
17/05/2003 00:00;17/05/2003 01:00;3.0302
17/05/2003 01:00;17/05/2003 02:00;2.4908
17/05/2003 02:00;17/05/2003 03:00;1.131
17/05/2003 03:00;17/05/2003 04:00;0.3934
17/05/2003 04:00;17/05/2003 05:00;0.2476
17/05/2003 05:00;17/05/2003 06:00;0.702
17/05/2003 06:00;17/05/2003 07:00;3.7676
17/05/2003 07:00;17/05/2003 08:00;8.726
17/05/2003 08:00;17/05/2003 09:00;15.352
17/05/2003 09:00;17/05/2003 10:00;21.374
17/05/2003 10:00;17/05/2003 11:00;25.48
17/05/2003 11:00;17/05/2003 12:00;27.308
17/05/2003 12:00;17/05/2003 13:00;28.442
17/05/2003 13:00;17/05/2003 14:00;29.36
17/05/2003 14:00;17/05/2003 15:00;29.438
17/05/2003 15:00;17/05/2003 16:00;29.51
17/05/2003 16:00;17/05/2003 17:00;27.61
17/05/2003 17:00;17/05/2003 18:00;25.342
17/05/2003 18:00;17/05/2003 19:00;21.404
17/05/2003 19:00;17/05/2003 20:00;15.902
17/05/2003 20:00;17/05/2003 21:00;11.02
17/05/2003 21:00;17/05/2003 22:00;9.3432
17/05/2003 22:00;17/05/2003 23:00;7.9856
17/05/2003 23:00;18/05/2003 00:00;7.0094
18/05/2003 00:00;18/05/2003 01:00;6.2206
18/05/2003 01:00;18/05/2003 02:00;5.976
18/05/2003 02:00;18/05/2003 03:00;4.9754
18/05/2003 03:00;18/05/2003 04:00;4.1592
18/05/2003 04:00;18/05/2003 05:00;3.6264
18/05/2003 05:00;18/05/2003 06:00;3.4796
18/05/2003 06:00;18/05/2003 07:00;5.4844
18/05/2003 07:00;18/05/2003 08:00;11.686
18/05/2003 08:00;18/05/2003 09:00;18.246
18/05/2003 09:00;18/05/2003 10:00;23.862
18/05/2003 10:00;18/05/2003 11:00;27.812
18/05/2003 11:00;18/05/2003 12:00;30.492
18/05/2003 12:00;18/05/2003 13:00;31.72
18/05/2003 13:00;18/05/2003 14:00;31.87
18/05/2003 14:00;18/05/2003 15:00;31.962
18/05/2003 15:00;18/05/2003 16:00;30.674
18/05/2003 16:00;18/05/2003 17:00;28.278
18/05/2003 17:00;18/05/2003 18:00;25.418
18/05/2003 18:00;18/05/2003 19:00;21.732
18/05/2003 19:00;18/05/2003 20:00;16.32
18/05/2003 20:00;18/05/2003 21:00;11.686
18/05/2003 21:00;18/05/2003 22:00;10.03
18/05/2003 22:00;18/05/2003 23:00;8.8518
18/05/2003 23:00;19/05/2003 00:00;7.9302
19/05/2003 00:00;19/05/2003 01:00;7.0032
19/05/2003 01:00;19/05/2003 02:00;6.6768
19/05/2003 02:00;19/05/2003 03:00;6.0734
19/05/2003 03:00;19/05/2003 04:00;5.2268
19/05/2003 04:00;19/05/2003 05:00;4.641
19/05/2003 05:00;19/05/2003 06:00;4.4216
19/05/2003 06:00;19/05/2003 07:00;6.545
19/05/2003 07:00;19/05/2003 08:00;12.128
19/05/2003 08:00;19/05/2003 09:00;18.238
19/05/2003 09:00;19/05/2003 10:00;25.068
19/05/2003 10:00;19/05/2003 11:00;29.636
19/05/2003 11:00;19/05/2003 12:00;30.852
19/05/2003 12:00;19/05/2003 13:00;32.386
19/05/2003 13:00;19/05/2003 14:00;33.178
19/05/2003 14:00;19/05/2003 15:00;33.334
19/05/2003 15:00;19/05/2003 16:00;32.56
19/05/2003 16:00;19/05/2003 17:00;29.67
19/05/2003 17:00;19/05/2003 18:00;24.29
19/05/2003 18:00;19/05/2003 19:00;21.26
19/05/2003 19:00;19/05/2003 20:00;18.244
19/05/2003 20:00;19/05/2003 21:00;14.73
19/05/2003 21:00;19/05/2003 22:00;13.356
19/05/2003 22:00;19/05/2003 23:00;11.854
19/05/2003 23:00;20/05/2003 00:00;10.884
20/05/2003 00:00;20/05/2003 01:00;10.168
20/05/2003 01:00;20/05/2003 02:00;9.604
20/05/2003 02:00;20/05/2003 03:00;9.66
20/05/2003 03:00;20/05/2003 04:00;9.404
20/05/2003 04:00;20/05/2003 05:00;10.222
20/05/2003 05:00;20/05/2003 06:00;9.254
20/05/2003 06:00;20/05/2003 07:00;11.05
20/05/2003 07:00;20/05/2003 08:00;15.548
20/05/2003 08:00;20/05/2003 09:00;20.566
20/05/2003 09:00;20/05/2003 10:00;19.926
20/05/2003 10:00;20/05/2003 11:00;20.462
20/05/2003 11:00;20/05/2003 12:00;22.334
20/05/2003 12:00;20/05/2003 13:00;23.704
20/05/2003 13:00;20/05/2003 14:00;24.56
20/05/2003 14:00;20/05/2003 15:00;24.762
20/05/2003 15:00;20/05/2003 16:00;24.48
20/05/2003 16:00;20/05/2003 17:00;23.246
20/05/2003 17:00;20/05/2003 18:00;21.78
20/05/2003 18:00;20/05/2003 19:00;20.314
20/05/2003 19:00;20/05/2003 20:00;18.644
20/05/2003 20:00;20/05/2003 21:00;16.85
20/05/2003 21:00;20/05/2003 22:00;15.588
20/05/2003 22:00;20/05/2003 23:00;14.678
20/05/2003 23:00;21/05/2003 00:00;14.572
21/05/2003 00:00;21/05/2003 01:00;14.384
21/05/2003 01:00;21/05/2003 02:00;14.722
21/05/2003 02:00;21/05/2003 03:00;14.64
21/05/2003 03:00;21/05/2003 04:00;14.516
21/05/2003 04:00;21/05/2003 05:00;14.512
21/05/2003 05:00;21/05/2003 06:00;14.086
21/05/2003 06:00;21/05/2003 07:00;13.7
21/05/2003 07:00;21/05/2003 08:00;13.536
21/05/2003 08:00;21/05/2003 09:00;13.794
21/05/2003 09:00;21/05/2003 10:00;13.374
21/05/2003 10:00;21/05/2003 11:00;14.46
21/05/2003 11:00;21/05/2003 12:00;16.1
21/05/2003 12:00;21/05/2003 13:00;17.862
21/05/2003 13:00;21/05/2003 14:00;19.456
21/05/2003 14:00;21/05/2003 15:00;19.898
21/05/2003 15:00;21/05/2003 16:00;19.056
21/05/2003 16:00;21/05/2003 17:00;18.136
21/05/2003 17:00;21/05/2003 18:00;17.44
21/05/2003 18:00;21/05/2003 19:00;16.166
21/05/2003 19:00;21/05/2003 20:00;14.208
21/05/2003 20:00;21/05/2003 21:00;12.0058
21/05/2003 21:00;21/05/2003 22:00;10.857
21/05/2003 22:00;21/05/2003 23:00;10.1406
21/05/2003 23:00;22/05/2003 00:00;8.6964
22/05/2003 00:00;22/05/2003 01:00;7.5612
22/05/2003 01:00;22/05/2003 02:00;6.742
22/05/2003 02:00;22/05/2003 03:00;6.1068
22/05/2003 03:00;22/05/2003 04:00;5.5952
22/05/2003 04:00;22/05/2003 05:00;5.1322
22/05/2003 05:00;22/05/2003 06:00;5.0216
22/05/2003 06:00;22/05/2003 07:00;6.1954
22/05/2003 07:00;22/05/2003 08:00;8.196
22/05/2003 08:00;22/05/2003 09:00;9.614
22/05/2003 09:00;22/05/2003 10:00;11.46
22/05/2003 10:00;22/05/2003 11:00;13.622
22/05/2003 11:00;22/05/2003 12:00;15.75
22/05/2003 12:00;22/05/2003 13:00;17.118
22/05/2003 13:00;22/05/2003 14:00;17.894
22/05/2003 14:00;22/05/2003 15:00;17.71
22/05/2003 15:00;22/05/2003 16:00;16.986
22/05/2003 16:00;22/05/2003 17:00;16.582
22/05/2003 17:00;22/05/2003 18:00;14.818
22/05/2003 18:00;22/05/2003 19:00;13.134
22/05/2003 19:00;22/05/2003 20:00;12.08
22/05/2003 20:00;22/05/2003 21:00;11.266
22/05/2003 21:00;22/05/2003 22:00;10.6
22/05/2003 22:00;22/05/2003 23:00;10.018
22/05/2003 23:00;23/05/2003 00:00;9.57
23/05/2003 00:00;23/05/2003 01:00;9.248
23/05/2003 01:00;23/05/2003 02:00;9.076
23/05/2003 02:00;23/05/2003 03:00;9.06
23/05/2003 03:00;23/05/2003 04:00;8.998
23/05/2003 04:00;23/05/2003 05:00;8.8728
23/05/2003 05:00;23/05/2003 06:00;8.852
23/05/2003 06:00;23/05/2003 07:00;9.034
23/05/2003 07:00;23/05/2003 08:00;9.378
23/05/2003 08:00;23/05/2003 09:00;9.78
23/05/2003 09:00;23/05/2003 10:00;10.13
23/05/2003 10:00;23/05/2003 11:00;10.632
23/05/2003 11:00;23/05/2003 12:00;11.222
23/05/2003 12:00;23/05/2003 13:00;13.936
23/05/2003 13:00;23/05/2003 14:00;16.044
23/05/2003 14:00;23/05/2003 15:00;17.224
23/05/2003 15:00;23/05/2003 16:00;17.542
23/05/2003 16:00;23/05/2003 17:00;17.058
23/05/2003 17:00;23/05/2003 18:00;15.81
