Start Shift;End Shift;AirTemp
11/05/2004 09:00;11/05/2004 09:30;13.93
11/05/2004 09:30;11/05/2004 10:00;14.25
11/05/2004 10:00;11/05/2004 10:30;15.34
11/05/2004 10:30;11/05/2004 11:00;15.83
11/05/2004 11:00;11/05/2004 11:30;16.36
11/05/2004 11:30;11/05/2004 12:00;17.1
11/05/2004 12:00;11/05/2004 12:30;17.58
11/05/2004 12:30;11/05/2004 13:00;17.96
11/05/2004 13:00;11/05/2004 13:30;18.2
11/05/2004 13:30;11/05/2004 14:00;18.36
11/05/2004 14:00;11/05/2004 14:30;18.82
11/05/2004 14:30;11/05/2004 15:00;18.95
11/05/2004 15:00;11/05/2004 15:30;18.83
11/05/2004 15:30;11/05/2004 16:00;18.72
11/05/2004 16:00;11/05/2004 16:30;18.66
11/05/2004 16:30;11/05/2004 17:00;18.52
11/05/2004 17:00;11/05/2004 17:30;18.37
11/05/2004 17:30;11/05/2004 18:00;18.15
11/05/2004 18:00;11/05/2004 18:30;17.59
11/05/2004 18:30;11/05/2004 19:00;17.08
11/05/2004 19:00;11/05/2004 19:30;16.22
11/05/2004 19:30;11/05/2004 20:00;14.23
11/05/2004 20:00;11/05/2004 20:30;12.75
11/05/2004 20:30;11/05/2004 21:00;11.56
11/05/2004 21:00;11/05/2004 21:30;9.72
11/05/2004 21:30;11/05/2004 22:00;7.65
11/05/2004 22:00;11/05/2004 22:30;6.525
11/05/2004 22:30;11/05/2004 23:00;5.891
11/05/2004 23:00;11/05/2004 23:30;6.496
11/05/2004 23:30;12/05/2004 00:00;5.574
12/05/2004 00:00;12/05/2004 00:30;4.853
12/05/2004 00:30;12/05/2004 01:00;4.308
12/05/2004 01:00;12/05/2004 01:30;3.972
12/05/2004 01:30;12/05/2004 02:00;3.959
12/05/2004 02:00;12/05/2004 02:30;3.894
12/05/2004 02:30;12/05/2004 03:00;4.007
12/05/2004 03:00;12/05/2004 03:30;3.29
12/05/2004 03:30;12/05/2004 04:00;2.749
12/05/2004 04:00;12/05/2004 04:30;2.601
12/05/2004 04:30;12/05/2004 05:00;2.44
12/05/2004 05:00;12/05/2004 05:30;2.54
12/05/2004 05:30;12/05/2004 06:00;2.841
12/05/2004 06:00;12/05/2004 06:30;4.255
12/05/2004 06:30;12/05/2004 07:00;6.567
12/05/2004 07:00;12/05/2004 07:30;8.53
12/05/2004 07:30;12/05/2004 08:00;10.3
12/05/2004 08:00;12/05/2004 08:30;12.3
12/05/2004 08:30;12/05/2004 09:00;12.84
12/05/2004 09:00;12/05/2004 09:30;13.59
12/05/2004 09:30;12/05/2004 10:00;14.6
12/05/2004 10:00;12/05/2004 10:30;16.57
12/05/2004 10:30;12/05/2004 11:00;16.95
12/05/2004 11:00;12/05/2004 11:30;17.72
12/05/2004 11:30;12/05/2004 12:00;18.04
12/05/2004 12:00;12/05/2004 12:30;18.65
12/05/2004 12:30;12/05/2004 13:00;18.84
12/05/2004 13:00;12/05/2004 13:30;20.76
12/05/2004 13:30;12/05/2004 14:00;21.31
12/05/2004 14:00;12/05/2004 14:30;20.21
12/05/2004 14:30;12/05/2004 15:00;19.55
12/05/2004 15:00;12/05/2004 15:30;18.13
12/05/2004 15:30;12/05/2004 16:00;17.3
12/05/2004 16:00;12/05/2004 16:30;17.24
12/05/2004 16:30;12/05/2004 17:00;16.6
12/05/2004 17:00;12/05/2004 17:30;14.95
12/05/2004 17:30;12/05/2004 18:00;12.36
12/05/2004 18:00;12/05/2004 18:30;11.26
12/05/2004 18:30;12/05/2004 19:00;10.55
12/05/2004 19:00;12/05/2004 19:30;10.43
12/05/2004 19:30;12/05/2004 20:00;10.31
12/05/2004 20:00;12/05/2004 20:30;10.18
12/05/2004 20:30;12/05/2004 21:00;9.8
12/05/2004 21:00;12/05/2004 21:30;8.66
12/05/2004 21:30;12/05/2004 22:00;8.43
12/05/2004 22:00;12/05/2004 22:30;8.46
12/05/2004 22:30;12/05/2004 23:00;8.67
12/05/2004 23:00;12/05/2004 23:30;8.47
12/05/2004 23:30;13/05/2004 00:00;8.19
13/05/2004 00:00;13/05/2004 00:30;8.02
13/05/2004 00:30;13/05/2004 01:00;7.89
13/05/2004 01:00;13/05/2004 01:30;7.81
13/05/2004 01:30;13/05/2004 02:00;7.74
13/05/2004 02:00;13/05/2004 02:30;7.7
13/05/2004 02:30;13/05/2004 03:00;7.7
13/05/2004 03:00;13/05/2004 03:30;7.51
13/05/2004 03:30;13/05/2004 04:00;7.34
13/05/2004 04:00;13/05/2004 04:30;7.31
13/05/2004 04:30;13/05/2004 05:00;7.15
13/05/2004 05:00;13/05/2004 05:30;6.837
13/05/2004 05:30;13/05/2004 06:00;6.541
13/05/2004 06:00;13/05/2004 06:30;6.16
13/05/2004 06:30;13/05/2004 07:00;5.693
13/05/2004 07:00;13/05/2004 07:30;5.454
13/05/2004 07:30;13/05/2004 08:00;5.113
13/05/2004 08:00;13/05/2004 08:30;5.236
13/05/2004 08:30;13/05/2004 09:00;5.169
13/05/2004 09:00;13/05/2004 09:30;5.274
13/05/2004 09:30;13/05/2004 10:00;5.893
13/05/2004 10:00;13/05/2004 10:30;5.273
13/05/2004 10:30;13/05/2004 11:00;5.216
13/05/2004 11:00;13/05/2004 11:30;6.069
13/05/2004 11:30;13/05/2004 12:00;6.332
13/05/2004 12:00;13/05/2004 12:30;6.154
13/05/2004 12:30;13/05/2004 13:00;6.536
13/05/2004 13:00;13/05/2004 13:30;7.5
13/05/2004 13:30;13/05/2004 14:00;8.45
13/05/2004 14:00;13/05/2004 14:30;7.84
13/05/2004 14:30;13/05/2004 15:00;6.768
13/05/2004 15:00;13/05/2004 15:30;7.01
13/05/2004 15:30;13/05/2004 16:00;7.01
13/05/2004 16:00;13/05/2004 16:30;6.395
13/05/2004 16:30;13/05/2004 17:00;5.361
13/05/2004 17:00;13/05/2004 17:30;5.456
13/05/2004 17:30;13/05/2004 18:00;5.798
13/05/2004 18:00;13/05/2004 18:30;6.259
13/05/2004 18:30;13/05/2004 19:00;6.627
13/05/2004 19:00;13/05/2004 19:30;6.109
13/05/2004 19:30;13/05/2004 20:00;5.982
13/05/2004 20:00;13/05/2004 20:30;5.854
13/05/2004 20:30;13/05/2004 21:00;5.71
13/05/2004 21:00;13/05/2004 21:30;5.697
13/05/2004 21:30;13/05/2004 22:00;5.752
13/05/2004 22:00;13/05/2004 22:30;5.633
13/05/2004 22:30;13/05/2004 23:00;5.745
13/05/2004 23:00;13/05/2004 23:30;5.779
13/05/2004 23:30;14/05/2004 00:00;5.791
14/05/2004 00:00;14/05/2004 00:30;5.687
14/05/2004 00:30;14/05/2004 01:00;5.777
14/05/2004 01:00;14/05/2004 01:30;5.867
14/05/2004 01:30;14/05/2004 02:00;5.989
14/05/2004 02:00;14/05/2004 02:30;5.509
14/05/2004 02:30;14/05/2004 03:00;5.31
14/05/2004 03:00;14/05/2004 03:30;5.26
14/05/2004 03:30;14/05/2004 04:00;5.338
14/05/2004 04:00;14/05/2004 04:30;5.338
14/05/2004 04:30;14/05/2004 05:00;5.404
14/05/2004 05:00;14/05/2004 05:30;5.469
14/05/2004 05:30;14/05/2004 06:00;5.668
14/05/2004 06:00;14/05/2004 06:30;5.748
14/05/2004 06:30;14/05/2004 07:00;6.146
14/05/2004 07:00;14/05/2004 07:30;6.854
14/05/2004 07:30;14/05/2004 08:00;8
