Start Shift;End Shift;mm
10/05/2005 13:30;10/05/2005 14:00;0
10/05/2005 14:00;10/05/2005 14:30;0
10/05/2005 14:30;10/05/2005 15:00;0
10/05/2005 15:00;10/05/2005 15:30;0
10/05/2005 15:30;10/05/2005 16:00;0
10/05/2005 16:00;10/05/2005 16:30;0
10/05/2005 16:30;10/05/2005 17:00;0
10/05/2005 17:00;10/05/2005 17:30;0
10/05/2005 17:30;10/05/2005 18:00;0
10/05/2005 18:00;10/05/2005 18:30;0
10/05/2005 18:30;10/05/2005 19:00;0
10/05/2005 19:00;10/05/2005 19:30;0
10/05/2005 19:30;10/05/2005 20:00;0
10/05/2005 20:00;10/05/2005 20:30;0
10/05/2005 20:30;10/05/2005 21:00;0
10/05/2005 21:00;10/05/2005 21:30;0
10/05/2005 21:30;10/05/2005 22:00;0
10/05/2005 22:00;10/05/2005 22:30;0
10/05/2005 22:30;10/05/2005 23:00;0
10/05/2005 23:00;10/05/2005 23:30;0
10/05/2005 23:30;11/05/2005 00:00;0
11/05/2005 00:00;11/05/2005 00:30;0
11/05/2005 00:30;11/05/2005 01:00;0
11/05/2005 01:00;11/05/2005 01:30;0
11/05/2005 01:30;11/05/2005 02:00;0
11/05/2005 02:00;11/05/2005 02:30;0
11/05/2005 02:30;11/05/2005 03:00;0
11/05/2005 03:00;11/05/2005 03:30;0
11/05/2005 03:30;11/05/2005 04:00;0
11/05/2005 04:00;11/05/2005 04:30;0
11/05/2005 04:30;11/05/2005 05:00;0
11/05/2005 05:00;11/05/2005 05:30;0
11/05/2005 05:30;11/05/2005 06:00;0
11/05/2005 06:00;11/05/2005 06:30;0
11/05/2005 06:30;11/05/2005 07:00;0
11/05/2005 07:00;11/05/2005 07:30;0
11/05/2005 07:30;11/05/2005 08:00;0
11/05/2005 08:00;11/05/2005 08:30;0
11/05/2005 08:30;11/05/2005 09:00;0
11/05/2005 09:00;11/05/2005 09:30;0
11/05/2005 09:30;11/05/2005 10:00;0
11/05/2005 10:00;11/05/2005 10:30;0
11/05/2005 10:30;11/05/2005 11:00;0
11/05/2005 11:00;11/05/2005 11:30;0
11/05/2005 11:30;11/05/2005 12:00;0
11/05/2005 12:00;11/05/2005 12:30;0
11/05/2005 12:30;11/05/2005 13:00;0
11/05/2005 13:00;11/05/2005 13:30;0
11/05/2005 13:30;11/05/2005 14:00;0
11/05/2005 14:00;11/05/2005 14:30;0
11/05/2005 14:30;11/05/2005 15:00;0
11/05/2005 15:00;11/05/2005 15:30;4.2
11/05/2005 15:30;11/05/2005 16:00;0.5
11/05/2005 16:00;11/05/2005 16:30;0
11/05/2005 16:30;11/05/2005 17:00;0
11/05/2005 17:00;11/05/2005 17:30;0.2
11/05/2005 17:30;11/05/2005 18:00;0
11/05/2005 18:00;11/05/2005 18:30;0
11/05/2005 18:30;11/05/2005 19:00;0
11/05/2005 19:00;11/05/2005 19:30;0
11/05/2005 19:30;11/05/2005 20:00;0
11/05/2005 20:00;11/05/2005 20:30;0
11/05/2005 20:30;11/05/2005 21:00;0
11/05/2005 21:00;11/05/2005 21:30;0
11/05/2005 21:30;11/05/2005 22:00;0
11/05/2005 22:00;11/05/2005 22:30;0
11/05/2005 22:30;11/05/2005 23:00;0
11/05/2005 23:00;11/05/2005 23:30;0
11/05/2005 23:30;12/05/2005 00:00;0
12/05/2005 00:00;12/05/2005 00:30;0
12/05/2005 00:30;12/05/2005 01:00;0
12/05/2005 01:00;12/05/2005 01:30;0
12/05/2005 01:30;12/05/2005 02:00;0
12/05/2005 02:00;12/05/2005 02:30;0
12/05/2005 02:30;12/05/2005 03:00;0
12/05/2005 03:00;12/05/2005 03:30;0.1
12/05/2005 03:30;12/05/2005 04:00;0
12/05/2005 04:00;12/05/2005 04:30;0
12/05/2005 04:30;12/05/2005 05:00;0
12/05/2005 05:00;12/05/2005 05:30;0
12/05/2005 05:30;12/05/2005 06:00;0
12/05/2005 06:00;12/05/2005 06:30;0
12/05/2005 06:30;12/05/2005 07:00;0
12/05/2005 07:00;12/05/2005 07:30;0
12/05/2005 07:30;12/05/2005 08:00;0
12/05/2005 08:00;12/05/2005 08:30;0
12/05/2005 08:30;12/05/2005 09:00;0
12/05/2005 09:00;12/05/2005 09:30;0
12/05/2005 09:30;12/05/2005 10:00;0
12/05/2005 10:00;12/05/2005 10:30;0
12/05/2005 10:30;12/05/2005 11:00;0
12/05/2005 11:00;12/05/2005 11:30;0
12/05/2005 11:30;12/05/2005 12:00;0
12/05/2005 12:00;12/05/2005 12:30;0
12/05/2005 12:30;12/05/2005 13:00;0
12/05/2005 13:00;12/05/2005 13:30;0
12/05/2005 13:30;12/05/2005 14:00;0
12/05/2005 14:00;12/05/2005 14:30;0
12/05/2005 14:30;12/05/2005 15:00;0
12/05/2005 15:00;12/05/2005 15:30;0
12/05/2005 15:30;12/05/2005 16:00;0
12/05/2005 16:00;12/05/2005 16:30;0
12/05/2005 16:30;12/05/2005 17:00;0
12/05/2005 17:00;12/05/2005 17:30;0
12/05/2005 17:30;12/05/2005 18:00;0
12/05/2005 18:00;12/05/2005 18:30;0
12/05/2005 18:30;12/05/2005 19:00;0
12/05/2005 19:00;12/05/2005 19:30;0
12/05/2005 19:30;12/05/2005 20:00;0
12/05/2005 20:00;12/05/2005 20:30;0
12/05/2005 20:30;12/05/2005 21:00;0
12/05/2005 21:00;12/05/2005 21:30;0
12/05/2005 21:30;12/05/2005 22:00;0
12/05/2005 22:00;12/05/2005 22:30;0
12/05/2005 22:30;12/05/2005 23:00;0
12/05/2005 23:00;12/05/2005 23:30;0
12/05/2005 23:30;13/05/2005 00:00;0
13/05/2005 00:00;13/05/2005 00:30;0
13/05/2005 00:30;13/05/2005 01:00;0
13/05/2005 01:00;13/05/2005 01:30;0
13/05/2005 01:30;13/05/2005 02:00;0
13/05/2005 02:00;13/05/2005 02:30;0
13/05/2005 02:30;13/05/2005 03:00;0
13/05/2005 03:00;13/05/2005 03:30;0
13/05/2005 03:30;13/05/2005 04:00;0
13/05/2005 04:00;13/05/2005 04:30;0
13/05/2005 04:30;13/05/2005 05:00;0
13/05/2005 05:00;13/05/2005 05:30;0
13/05/2005 05:30;13/05/2005 06:00;0
13/05/2005 06:00;13/05/2005 06:30;0
13/05/2005 06:30;13/05/2005 07:00;0
13/05/2005 07:00;13/05/2005 07:30;0
13/05/2005 07:30;13/05/2005 08:00;0
13/05/2005 08:00;13/05/2005 08:30;0
13/05/2005 08:30;13/05/2005 09:00;0
13/05/2005 09:00;13/05/2005 09:30;0
13/05/2005 09:30;13/05/2005 10:00;0
13/05/2005 10:00;13/05/2005 10:30;0
13/05/2005 10:30;13/05/2005 11:00;0
13/05/2005 11:00;13/05/2005 11:30;0
13/05/2005 11:30;13/05/2005 12:00;0
13/05/2005 12:00;13/05/2005 12:30;0
13/05/2005 12:30;13/05/2005 13:00;0
13/05/2005 13:00;13/05/2005 13:30;0
13/05/2005 13:30;13/05/2005 14:00;0
13/05/2005 14:00;13/05/2005 14:30;0
13/05/2005 14:30;13/05/2005 15:00;0
13/05/2005 15:00;13/05/2005 15:30;0
13/05/2005 15:30;13/05/2005 16:00;0
13/05/2005 16:00;13/05/2005 16:30;0
13/05/2005 16:30;13/05/2005 17:00;0
13/05/2005 17:00;13/05/2005 17:30;0
13/05/2005 17:30;13/05/2005 18:00;0
13/05/2005 18:00;13/05/2005 18:30;0
13/05/2005 18:30;13/05/2005 19:00;0
13/05/2005 19:00;13/05/2005 19:30;0
13/05/2005 19:30;13/05/2005 20:00;0
13/05/2005 20:00;13/05/2005 20:30;0
13/05/2005 20:30;13/05/2005 21:00;0
13/05/2005 21:00;13/05/2005 21:30;0
13/05/2005 21:30;13/05/2005 22:00;0
13/05/2005 22:00;13/05/2005 22:30;0
13/05/2005 22:30;13/05/2005 23:00;0
13/05/2005 23:00;13/05/2005 23:30;0
13/05/2005 23:30;14/05/2005 00:00;0
14/05/2005 00:00;14/05/2005 00:30;0
14/05/2005 00:30;14/05/2005 01:00;0
14/05/2005 01:00;14/05/2005 01:30;0
14/05/2005 01:30;14/05/2005 02:00;0
14/05/2005 02:00;14/05/2005 02:30;0
14/05/2005 02:30;14/05/2005 03:00;0
14/05/2005 03:00;14/05/2005 03:30;0
14/05/2005 03:30;14/05/2005 04:00;0
14/05/2005 04:00;14/05/2005 04:30;0
14/05/2005 04:30;14/05/2005 05:00;0
14/05/2005 05:00;14/05/2005 05:30;0
14/05/2005 05:30;14/05/2005 06:00;0
14/05/2005 06:00;14/05/2005 06:30;0
14/05/2005 06:30;14/05/2005 07:00;0
14/05/2005 07:00;14/05/2005 07:30;0
14/05/2005 07:30;14/05/2005 08:00;0
14/05/2005 08:00;14/05/2005 08:30;0
14/05/2005 08:30;14/05/2005 09:00;0
14/05/2005 09:00;14/05/2005 09:30;0
14/05/2005 09:30;14/05/2005 10:00;0
14/05/2005 10:00;14/05/2005 10:30;0
14/05/2005 10:30;14/05/2005 11:00;0
14/05/2005 11:00;14/05/2005 11:30;0
14/05/2005 11:30;14/05/2005 12:00;0
14/05/2005 12:00;14/05/2005 12:30;0
14/05/2005 12:30;14/05/2005 13:00;0
14/05/2005 13:00;14/05/2005 13:30;0
14/05/2005 13:30;14/05/2005 14:00;0
14/05/2005 14:00;14/05/2005 14:30;0
14/05/2005 14:30;14/05/2005 15:00;0
14/05/2005 15:00;14/05/2005 15:30;0
14/05/2005 15:30;14/05/2005 16:00;0.1
14/05/2005 16:00;14/05/2005 16:30;0
14/05/2005 16:30;14/05/2005 17:00;0
14/05/2005 17:00;14/05/2005 17:30;0
14/05/2005 17:30;14/05/2005 18:00;0
14/05/2005 18:00;14/05/2005 18:30;0
14/05/2005 18:30;14/05/2005 19:00;0
14/05/2005 19:00;14/05/2005 19:30;0
14/05/2005 19:30;14/05/2005 20:00;0
14/05/2005 20:00;14/05/2005 20:30;0
14/05/2005 20:30;14/05/2005 21:00;0
14/05/2005 21:00;14/05/2005 21:30;0
14/05/2005 21:30;14/05/2005 22:00;0
14/05/2005 22:00;14/05/2005 22:30;0
14/05/2005 22:30;14/05/2005 23:00;0
14/05/2005 23:00;14/05/2005 23:30;0
14/05/2005 23:30;15/05/2005 00:00;0
15/05/2005 00:00;15/05/2005 00:30;0
15/05/2005 00:30;15/05/2005 01:00;0
15/05/2005 01:00;15/05/2005 01:30;0
15/05/2005 01:30;15/05/2005 02:00;0
15/05/2005 02:00;15/05/2005 02:30;0
15/05/2005 02:30;15/05/2005 03:00;0
15/05/2005 03:00;15/05/2005 03:30;0
15/05/2005 03:30;15/05/2005 04:00;0
15/05/2005 04:00;15/05/2005 04:30;0
15/05/2005 04:30;15/05/2005 05:00;0
15/05/2005 05:00;15/05/2005 05:30;0
15/05/2005 05:30;15/05/2005 06:00;0.1
15/05/2005 06:00;15/05/2005 06:30;0.2
15/05/2005 06:30;15/05/2005 07:00;0
15/05/2005 07:00;15/05/2005 07:30;0
15/05/2005 07:30;15/05/2005 08:00;0.3
15/05/2005 08:00;15/05/2005 08:30;0.9
15/05/2005 08:30;15/05/2005 09:00;2.5
15/05/2005 09:00;15/05/2005 09:30;2.4
15/05/2005 09:30;15/05/2005 10:00;1.5
15/05/2005 10:00;15/05/2005 10:30;1.5
15/05/2005 10:30;15/05/2005 11:00;1.8
15/05/2005 11:00;15/05/2005 11:30;0.7
15/05/2005 11:30;15/05/2005 12:00;0
15/05/2005 12:00;15/05/2005 12:30;0.2
15/05/2005 12:30;15/05/2005 13:00;0.2
15/05/2005 13:00;15/05/2005 13:30;0.2
15/05/2005 13:30;15/05/2005 14:00;0
15/05/2005 14:00;15/05/2005 14:30;0
15/05/2005 14:30;15/05/2005 15:00;0
15/05/2005 15:00;15/05/2005 15:30;0
15/05/2005 15:30;15/05/2005 16:00;0
15/05/2005 16:00;15/05/2005 16:30;0
15/05/2005 16:30;15/05/2005 17:00;0
15/05/2005 17:00;15/05/2005 17:30;0
15/05/2005 17:30;15/05/2005 18:00;0
15/05/2005 18:00;15/05/2005 18:30;0
15/05/2005 18:30;15/05/2005 19:00;0
15/05/2005 19:00;15/05/2005 19:30;0
15/05/2005 19:30;15/05/2005 20:00;0.1
15/05/2005 20:00;15/05/2005 20:30;0.3
15/05/2005 20:30;15/05/2005 21:00;0.5
15/05/2005 21:00;15/05/2005 21:30;0.2
15/05/2005 21:30;15/05/2005 22:00;0.1
15/05/2005 22:00;15/05/2005 22:30;0
15/05/2005 22:30;15/05/2005 23:00;0
15/05/2005 23:00;15/05/2005 23:30;0
15/05/2005 23:30;16/05/2005 00:00;0
16/05/2005 00:00;16/05/2005 00:30;0
16/05/2005 00:30;16/05/2005 01:00;0.1
16/05/2005 01:00;16/05/2005 01:30;0
16/05/2005 01:30;16/05/2005 02:00;0
16/05/2005 02:00;16/05/2005 02:30;0
16/05/2005 02:30;16/05/2005 03:00;0
16/05/2005 03:00;16/05/2005 03:30;0
16/05/2005 03:30;16/05/2005 04:00;0
16/05/2005 04:00;16/05/2005 04:30;0
16/05/2005 04:30;16/05/2005 05:00;0
16/05/2005 05:00;16/05/2005 05:30;0
16/05/2005 05:30;16/05/2005 06:00;0
16/05/2005 06:00;16/05/2005 06:30;0
16/05/2005 06:30;16/05/2005 07:00;0
16/05/2005 07:00;16/05/2005 07:30;0
16/05/2005 07:30;16/05/2005 08:00;0
16/05/2005 08:00;16/05/2005 08:30;0
16/05/2005 08:30;16/05/2005 09:00;0
16/05/2005 09:00;16/05/2005 09:30;0
16/05/2005 09:30;16/05/2005 10:00;0
16/05/2005 10:00;16/05/2005 10:30;0
16/05/2005 10:30;16/05/2005 11:00;0
16/05/2005 11:00;16/05/2005 11:30;0
16/05/2005 11:30;16/05/2005 12:00;0.2
16/05/2005 12:00;16/05/2005 12:30;0.4
16/05/2005 12:30;16/05/2005 13:00;0.7
16/05/2005 13:00;16/05/2005 13:30;0.3
16/05/2005 13:30;16/05/2005 14:00;0.1
16/05/2005 14:00;16/05/2005 14:30;0.1
16/05/2005 14:30;16/05/2005 15:00;0.1
16/05/2005 15:00;16/05/2005 15:30;0
16/05/2005 15:30;16/05/2005 16:00;0.1
16/05/2005 16:00;16/05/2005 16:30;0.1
16/05/2005 16:30;16/05/2005 17:00;0
16/05/2005 17:00;16/05/2005 17:30;0
16/05/2005 17:30;16/05/2005 18:00;0
16/05/2005 18:00;16/05/2005 18:30;0
16/05/2005 18:30;16/05/2005 19:00;0
16/05/2005 19:00;16/05/2005 19:30;0
16/05/2005 19:30;16/05/2005 20:00;0
16/05/2005 20:00;16/05/2005 20:30;0
16/05/2005 20:30;16/05/2005 21:00;0
16/05/2005 21:00;16/05/2005 21:30;0
16/05/2005 21:30;16/05/2005 22:00;0
16/05/2005 22:00;16/05/2005 22:30;0
16/05/2005 22:30;16/05/2005 23:00;0
16/05/2005 23:00;16/05/2005 23:30;0
16/05/2005 23:30;17/05/2005 00:00;0
17/05/2005 00:00;17/05/2005 00:30;0
17/05/2005 00:30;17/05/2005 01:00;0
17/05/2005 01:00;17/05/2005 01:30;0
17/05/2005 01:30;17/05/2005 02:00;0
17/05/2005 02:00;17/05/2005 02:30;0
17/05/2005 02:30;17/05/2005 03:00;0
17/05/2005 03:00;17/05/2005 03:30;0
17/05/2005 03:30;17/05/2005 04:00;0
17/05/2005 04:00;17/05/2005 04:30;0
17/05/2005 04:30;17/05/2005 05:00;0
17/05/2005 05:00;17/05/2005 05:30;0
17/05/2005 05:30;17/05/2005 06:00;0
17/05/2005 06:00;17/05/2005 06:30;0
17/05/2005 06:30;17/05/2005 07:00;0
17/05/2005 07:00;17/05/2005 07:30;0
17/05/2005 07:30;17/05/2005 08:00;0
17/05/2005 08:00;17/05/2005 08:30;0
17/05/2005 08:30;17/05/2005 09:00;0
17/05/2005 09:00;17/05/2005 09:30;0
17/05/2005 09:30;17/05/2005 10:00;0
17/05/2005 10:00;17/05/2005 10:30;0
17/05/2005 10:30;17/05/2005 11:00;0
17/05/2005 11:00;17/05/2005 11:30;0
17/05/2005 11:30;17/05/2005 12:00;0
17/05/2005 12:00;17/05/2005 12:30;0
17/05/2005 12:30;17/05/2005 13:00;0
17/05/2005 13:00;17/05/2005 13:30;0
17/05/2005 13:30;17/05/2005 14:00;0
17/05/2005 14:00;17/05/2005 14:30;0
17/05/2005 14:30;17/05/2005 15:00;0
17/05/2005 15:00;17/05/2005 15:30;0
17/05/2005 15:30;17/05/2005 16:00;0
17/05/2005 16:00;17/05/2005 16:30;0
17/05/2005 16:30;17/05/2005 17:00;0
17/05/2005 17:00;17/05/2005 17:30;0
17/05/2005 17:30;17/05/2005 18:00;0
17/05/2005 18:00;17/05/2005 18:30;0
17/05/2005 18:30;17/05/2005 19:00;0
17/05/2005 19:00;17/05/2005 19:30;0
17/05/2005 19:30;17/05/2005 20:00;0
17/05/2005 20:00;17/05/2005 20:30;0
17/05/2005 20:30;17/05/2005 21:00;0
17/05/2005 21:00;17/05/2005 21:30;0
17/05/2005 21:30;17/05/2005 22:00;0
17/05/2005 22:00;17/05/2005 22:30;0
17/05/2005 22:30;17/05/2005 23:00;0
17/05/2005 23:00;17/05/2005 23:30;0
17/05/2005 23:30;18/05/2005 00:00;0
18/05/2005 00:00;18/05/2005 00:30;0
18/05/2005 00:30;18/05/2005 01:00;0
18/05/2005 01:00;18/05/2005 01:30;0
18/05/2005 01:30;18/05/2005 02:00;0
18/05/2005 02:00;18/05/2005 02:30;0
18/05/2005 02:30;18/05/2005 03:00;0
18/05/2005 03:00;18/05/2005 03:30;0
18/05/2005 03:30;18/05/2005 04:00;0
18/05/2005 04:00;18/05/2005 04:30;0
18/05/2005 04:30;18/05/2005 05:00;0
18/05/2005 05:00;18/05/2005 05:30;0
18/05/2005 05:30;18/05/2005 06:00;0
18/05/2005 06:00;18/05/2005 06:30;0
18/05/2005 06:30;18/05/2005 07:00;0
18/05/2005 07:00;18/05/2005 07:30;0
18/05/2005 07:30;18/05/2005 08:00;0
18/05/2005 08:00;18/05/2005 08:30;0
18/05/2005 08:30;18/05/2005 09:00;0.2
18/05/2005 09:00;18/05/2005 09:30;0
18/05/2005 09:30;18/05/2005 10:00;0
18/05/2005 10:00;18/05/2005 10:30;0
18/05/2005 10:30;18/05/2005 11:00;0
18/05/2005 11:00;18/05/2005 11:30;0
18/05/2005 11:30;18/05/2005 12:00;0
18/05/2005 12:00;18/05/2005 12:30;0
18/05/2005 12:30;18/05/2005 13:00;0
18/05/2005 13:00;18/05/2005 13:30;0
18/05/2005 13:30;18/05/2005 14:00;0
18/05/2005 14:00;18/05/2005 14:30;0
18/05/2005 14:30;18/05/2005 15:00;0
18/05/2005 15:00;18/05/2005 15:30;0
18/05/2005 15:30;18/05/2005 16:00;0
18/05/2005 16:00;18/05/2005 16:30;0
18/05/2005 16:30;18/05/2005 17:00;0
18/05/2005 17:00;18/05/2005 17:30;0
18/05/2005 17:30;18/05/2005 18:00;0
