Start Shift;End Shift;Rh
26/08/2005 09:30;26/08/2005 10:00;66.52
26/08/2005 10:00;26/08/2005 10:30;60.48
26/08/2005 10:30;26/08/2005 11:00;57.78
26/08/2005 11:00;26/08/2005 11:30;52.86
26/08/2005 11:30;26/08/2005 12:00;48.64
26/08/2005 12:00;26/08/2005 12:30;45.6
26/08/2005 12:30;26/08/2005 13:00;43.14
26/08/2005 13:00;26/08/2005 13:30;39.07
26/08/2005 13:30;26/08/2005 14:00;34.68
26/08/2005 14:00;26/08/2005 14:30;27.3
26/08/2005 14:30;26/08/2005 15:00;27.86
26/08/2005 15:00;26/08/2005 15:30;28.72
26/08/2005 15:30;26/08/2005 16:00;29.44
26/08/2005 16:00;26/08/2005 16:30;30.55
26/08/2005 16:30;26/08/2005 17:00;30.21
26/08/2005 17:00;26/08/2005 17:30;30.91
26/08/2005 17:30;26/08/2005 18:00;33.22
26/08/2005 18:00;26/08/2005 18:30;35.9
26/08/2005 18:30;26/08/2005 19:00;41.08
26/08/2005 19:00;26/08/2005 19:30;46.26
26/08/2005 19:30;26/08/2005 20:00;56.09
26/08/2005 20:00;26/08/2005 20:30;66.62
26/08/2005 20:30;26/08/2005 21:00;78.5
26/08/2005 21:00;26/08/2005 21:30;83
26/08/2005 21:30;26/08/2005 22:00;83.5
26/08/2005 22:00;26/08/2005 22:30;85.3
26/08/2005 22:30;26/08/2005 23:00;79.7
26/08/2005 23:00;26/08/2005 23:30;77.9
26/08/2005 23:30;27/08/2005 00:00;82
27/08/2005 00:00;27/08/2005 00:30;81.9
27/08/2005 00:30;27/08/2005 01:00;84.8
27/08/2005 01:00;27/08/2005 01:30;85.7
27/08/2005 01:30;27/08/2005 02:00;89.7
27/08/2005 02:00;27/08/2005 02:30;89.8
27/08/2005 02:30;27/08/2005 03:00;90.2
27/08/2005 03:00;27/08/2005 03:30;90
27/08/2005 03:30;27/08/2005 04:00;89.9
27/08/2005 04:00;27/08/2005 04:30;90.2
27/08/2005 04:30;27/08/2005 05:00;91.1
27/08/2005 05:00;27/08/2005 05:30;89.5
27/08/2005 05:30;27/08/2005 06:00;86.8
27/08/2005 06:00;27/08/2005 06:30;85.8
27/08/2005 06:30;27/08/2005 07:00;83.6
27/08/2005 07:00;27/08/2005 07:30;81.4
27/08/2005 07:30;27/08/2005 08:00;74.2
27/08/2005 08:00;27/08/2005 08:30;70.1
27/08/2005 08:30;27/08/2005 09:00;66.92
27/08/2005 09:00;27/08/2005 09:30;61.19
27/08/2005 09:30;27/08/2005 10:00;55.65
27/08/2005 10:00;27/08/2005 10:30;50.63
27/08/2005 10:30;27/08/2005 11:00;47.41
27/08/2005 11:00;27/08/2005 11:30;44.04
27/08/2005 11:30;27/08/2005 12:00;42.49
27/08/2005 12:00;27/08/2005 12:30;37.66
27/08/2005 12:30;27/08/2005 13:00;38.65
27/08/2005 13:00;27/08/2005 13:30;34.15
27/08/2005 13:30;27/08/2005 14:00;35.76
27/08/2005 14:00;27/08/2005 14:30;33.39
27/08/2005 14:30;27/08/2005 15:00;32.77
27/08/2005 15:00;27/08/2005 15:30;33.82
27/08/2005 15:30;27/08/2005 16:00;33.82
27/08/2005 16:00;27/08/2005 16:30;35.86
27/08/2005 16:30;27/08/2005 17:00;34.6
27/08/2005 17:00;27/08/2005 17:30;34.56
27/08/2005 17:30;27/08/2005 18:00;41.49
27/08/2005 18:00;27/08/2005 18:30;46.66
27/08/2005 18:30;27/08/2005 19:00;50.85
27/08/2005 19:00;27/08/2005 19:30;61.09
27/08/2005 19:30;27/08/2005 20:00;76.6
27/08/2005 20:00;27/08/2005 20:30;83.3
27/08/2005 20:30;27/08/2005 21:00;84.5
27/08/2005 21:00;27/08/2005 21:30;83.3
27/08/2005 21:30;27/08/2005 22:00;83.8
27/08/2005 22:00;27/08/2005 22:30;79.7
27/08/2005 22:30;27/08/2005 23:00;75.9
27/08/2005 23:00;27/08/2005 23:30;73.2
27/08/2005 23:30;28/08/2005 00:00;74.5
28/08/2005 00:00;28/08/2005 00:30;74
28/08/2005 00:30;28/08/2005 01:00;71.4
28/08/2005 01:00;28/08/2005 01:30;71.9
28/08/2005 01:30;28/08/2005 02:00;73.7
28/08/2005 02:00;28/08/2005 02:30;74.7
28/08/2005 02:30;28/08/2005 03:00;75.6
28/08/2005 03:00;28/08/2005 03:30;77.2
28/08/2005 03:30;28/08/2005 04:00;78
28/08/2005 04:00;28/08/2005 04:30;79.4
28/08/2005 04:30;28/08/2005 05:00;77.9
28/08/2005 05:00;28/08/2005 05:30;77.1
28/08/2005 05:30;28/08/2005 06:00;77.2
28/08/2005 06:00;28/08/2005 06:30;75.1
28/08/2005 06:30;28/08/2005 07:00;73.6
28/08/2005 07:00;28/08/2005 07:30;74.4
28/08/2005 07:30;28/08/2005 08:00;73
28/08/2005 08:00;28/08/2005 08:30;70
28/08/2005 08:30;28/08/2005 09:00;70.7
28/08/2005 09:00;28/08/2005 09:30;73.4
28/08/2005 09:30;28/08/2005 10:00;75.7
28/08/2005 10:00;28/08/2005 10:30;80.8
28/08/2005 10:30;28/08/2005 11:00;87.9
28/08/2005 11:00;28/08/2005 11:30;89.1
28/08/2005 11:30;28/08/2005 12:00;88.3
28/08/2005 12:00;28/08/2005 12:30;86.6
28/08/2005 12:30;28/08/2005 13:00;83.7
28/08/2005 13:00;28/08/2005 13:30;82.7
28/08/2005 13:30;28/08/2005 14:00;81.5
28/08/2005 14:00;28/08/2005 14:30;76.7
28/08/2005 14:30;28/08/2005 15:00;73.9
28/08/2005 15:00;28/08/2005 15:30;71.3
28/08/2005 15:30;28/08/2005 16:00;68.47
28/08/2005 16:00;28/08/2005 16:30;68.75
28/08/2005 16:30;28/08/2005 17:00;68.3
28/08/2005 17:00;28/08/2005 17:30;66.8
28/08/2005 17:30;28/08/2005 18:00;67.85
28/08/2005 18:00;28/08/2005 18:30;68.99
28/08/2005 18:30;28/08/2005 19:00;72.6
28/08/2005 19:00;28/08/2005 19:30;75.4
28/08/2005 19:30;28/08/2005 20:00;79.9
28/08/2005 20:00;28/08/2005 20:30;82.9
28/08/2005 20:30;28/08/2005 21:00;84.1
28/08/2005 21:00;28/08/2005 21:30;84.9
28/08/2005 21:30;28/08/2005 22:00;85.3
28/08/2005 22:00;28/08/2005 22:30;86
28/08/2005 22:30;28/08/2005 23:00;87.8
28/08/2005 23:00;28/08/2005 23:30;86.8
28/08/2005 23:30;29/08/2005 00:00;85.4
29/08/2005 00:00;29/08/2005 00:30;88.6
29/08/2005 00:30;29/08/2005 01:00;90.3
29/08/2005 01:00;29/08/2005 01:30;90.2
29/08/2005 01:30;29/08/2005 02:00;90.7
29/08/2005 02:00;29/08/2005 02:30;90.4
29/08/2005 02:30;29/08/2005 03:00;91.1
29/08/2005 03:00;29/08/2005 03:30;91.7
29/08/2005 03:30;29/08/2005 04:00;92.1
29/08/2005 04:00;29/08/2005 04:30;92.1
29/08/2005 04:30;29/08/2005 05:00;92.3
29/08/2005 05:00;29/08/2005 05:30;92.5
29/08/2005 05:30;29/08/2005 06:00;92.8
29/08/2005 06:00;29/08/2005 06:30;92.5
29/08/2005 06:30;29/08/2005 07:00;91.2
29/08/2005 07:00;29/08/2005 07:30;88.5
29/08/2005 07:30;29/08/2005 08:00;86.2
29/08/2005 08:00;29/08/2005 08:30;83.4
29/08/2005 08:30;29/08/2005 09:00;79.5
29/08/2005 09:00;29/08/2005 09:30;75.7
29/08/2005 09:30;29/08/2005 10:00;70.5
29/08/2005 10:00;29/08/2005 10:30;65.4
29/08/2005 10:30;29/08/2005 11:00;63.32
29/08/2005 11:00;29/08/2005 11:30;61.3
29/08/2005 11:30;29/08/2005 12:00;60.12
29/08/2005 12:00;29/08/2005 12:30;56.42
29/08/2005 12:30;29/08/2005 13:00;55.02
29/08/2005 13:00;29/08/2005 13:30;54.06
29/08/2005 13:30;29/08/2005 14:00;54.69
29/08/2005 14:00;29/08/2005 14:30;56.62
29/08/2005 14:30;29/08/2005 15:00;61.97
29/08/2005 15:00;29/08/2005 15:30;75.1
29/08/2005 15:30;29/08/2005 16:00;84.9
29/08/2005 16:00;29/08/2005 16:30;78.6
29/08/2005 16:30;29/08/2005 17:00;69.98
29/08/2005 17:00;29/08/2005 17:30;69.79
29/08/2005 17:30;29/08/2005 18:00;78.3
29/08/2005 18:00;29/08/2005 18:30;81.6
29/08/2005 18:30;29/08/2005 19:00;86.6
29/08/2005 19:00;29/08/2005 19:30;88
29/08/2005 19:30;29/08/2005 20:00;90.3
29/08/2005 20:00;29/08/2005 20:30;90
29/08/2005 20:30;29/08/2005 21:00;90.9
