"site","month","year","t.start","t.end","doy.start","precip"
"loam","may",2001,2001-05-22 11:07:00,2001-05-22 11:37:00,142,3.5
"loam","may",2001,2001-05-22 11:37:00,2001-05-22 12:07:00,142,0
"loam","may",2001,2001-05-22 12:07:00,2001-05-22 12:37:00,142,0
"loam","may",2001,2001-05-22 12:37:00,2001-05-22 13:07:00,142,0
"loam","may",2001,2001-05-22 13:07:00,2001-05-22 13:52:00,142,0
"loam","may",2001,2001-05-22 13:52:00,2001-05-22 14:52:00,142,0
"loam","may",2001,2001-05-22 14:52:00,2001-05-22 16:22:00,142,0
"loam","may",2001,2001-05-22 16:22:00,2001-05-22 19:14:00,142,0
"loam","may",2001,2001-05-22 19:14:00,2001-05-23 01:59:00,142,0
"loam","may",2001,2001-05-23 01:59:00,2001-05-23 09:43:00,143,0
"loam","may",2001,2001-05-23 09:43:00,2001-05-23 14:33:00,143,0
"loam","may",2001,2001-05-23 14:33:00,2001-05-23 23:43:00,143,0
"loam","may",2001,2001-05-23 23:43:00,2001-05-24 09:15:00,143,0
"loam","may",2001,2001-05-24 09:15:00,2001-05-24 13:50:00,144,0
"loam","may",2001,2001-05-24 13:50:00,2001-05-24 23:24:00,144,0
"loam","may",2001,2001-05-24 23:24:00,2001-05-25 09:33:00,144,0
"loam","may",2001,2001-05-25 09:33:00,2001-05-25 14:42:00,145,0
"loam","may",2001,2001-05-25 14:42:00,2001-05-25 23:25:00,145,0
"loam","may",2001,2001-05-25 23:25:00,2001-05-26 08:51:00,145,0
"loam","may",2001,2001-05-26 08:51:00,2001-05-26 15:10:00,146,17.3
"loam","may",2001,2001-05-26 15:10:00,2001-05-26 23:54:00,146,0
"loam","may",2001,2001-05-26 23:54:00,2001-05-27 11:06:00,146,0
"loam","may",2001,2001-05-27 11:06:00,2001-05-28 02:06:00,147,7.2
"loam","may",2001,2001-05-28 02:06:00,2001-05-28 13:13:00,148,2.3
"loam","may",2001,2001-05-28 13:13:00,2001-05-29 13:13:00,148,0
"loam","may",2001,2001-05-29 13:13:00,2001-05-30 13:13:00,149,2.5
"loam","june",2001,2001-06-18 09:30:00,2001-06-18 10:00:00,169,0
"loam","june",2001,2001-06-18 10:00:00,2001-06-18 10:30:00,169,0
"loam","june",2001,2001-06-18 10:30:00,2001-06-18 11:00:00,169,0
"loam","june",2001,2001-06-18 11:00:00,2001-06-18 11:35:00,169,0
"loam","june",2001,2001-06-18 11:35:00,2001-06-18 12:27:00,169,0
"loam","june",2001,2001-06-18 12:27:00,2001-06-18 13:59:00,169,0
"loam","june",2001,2001-06-18 13:59:00,2001-06-18 15:52:00,169,0
"loam","june",2001,2001-06-18 15:52:00,2001-06-18 18:50:00,169,0
"loam","june",2001,2001-06-18 18:50:00,2001-06-19 03:26:00,169,0
"loam","june",2001,2001-06-19 03:26:00,2001-06-19 13:17:00,170,0
"loam","june",2001,2001-06-19 13:17:00,2001-06-19 23:29:00,170,0
"loam","june",2001,2001-06-19 23:29:00,2001-06-20 09:05:00,170,0
"loam","june",2001,2001-06-20 09:05:00,2001-06-20 13:51:00,171,1.9
"loam","june",2001,2001-06-20 13:51:00,2001-06-20 22:56:00,171,0
"loam","june",2001,2001-06-20 22:56:00,2001-06-21 08:47:00,171,0
"loam","june",2001,2001-06-21 08:47:00,2001-06-21 14:18:00,172,0
"loam","june",2001,2001-06-21 14:18:00,2001-06-22 01:07:00,172,0
"loam","june",2001,2001-06-22 01:07:00,2001-06-25 10:02:00,173,0
"loam","june",2001,2001-06-25 10:02:00,2001-06-27 17:32:00,176,0
"loam","june",2001,2001-06-27 17:32:00,2001-06-28 09:06:00,178,0
"sandyloam","may",2001,2001-05-23 09:36:00,2001-05-23 10:06:00,143,0
"sandyloam","may",2001,2001-05-23 10:06:00,2001-05-23 10:36:00,143,0
"sandyloam","may",2001,2001-05-23 10:36:00,2001-05-23 11:06:00,143,0
"sandyloam","may",2001,2001-05-23 11:06:00,2001-05-23 11:51:00,143,0
"sandyloam","may",2001,2001-05-23 11:51:00,2001-05-23 12:51:00,143,0
"sandyloam","may",2001,2001-05-23 12:51:00,2001-05-23 14:21:00,143,0
"sandyloam","may",2001,2001-05-23 14:21:00,2001-05-23 16:23:00,143,0
"sandyloam","may",2001,2001-05-23 16:23:00,2001-05-23 19:23:00,143,0
"sandyloam","may",2001,2001-05-23 19:23:00,2001-05-24 02:28:00,143,0
"sandyloam","may",2001,2001-05-24 02:28:00,2001-05-24 10:01:00,144,0
"sandyloam","may",2001,2001-05-24 10:01:00,2001-05-24 14:37:00,144,0
"sandyloam","may",2001,2001-05-24 14:37:00,2001-05-25 00:04:00,144,0
