Start Shift;End Shift;Radiation
26/08/2005 09:30;26/08/2005 10:00;0.546
26/08/2005 10:00;26/08/2005 10:30;0.626
26/08/2005 10:30;26/08/2005 11:00;0.695
26/08/2005 11:00;26/08/2005 11:30;0.737
26/08/2005 11:30;26/08/2005 12:00;0.768
26/08/2005 12:00;26/08/2005 12:30;0.788
26/08/2005 12:30;26/08/2005 13:00;0.793
26/08/2005 13:00;26/08/2005 13:30;0.788
26/08/2005 13:30;26/08/2005 14:00;0.768
26/08/2005 14:00;26/08/2005 14:30;0.737
26/08/2005 14:30;26/08/2005 15:00;0.698
26/08/2005 15:00;26/08/2005 15:30;0.644
26/08/2005 15:30;26/08/2005 16:00;0.578
26/08/2005 16:00;26/08/2005 16:30;0.507
26/08/2005 16:30;26/08/2005 17:00;0.427
26/08/2005 17:00;26/08/2005 17:30;0.342
26/08/2005 17:30;26/08/2005 18:00;0.255
26/08/2005 18:00;26/08/2005 18:30;0.17
26/08/2005 18:30;26/08/2005 19:00;0.093
26/08/2005 19:00;26/08/2005 19:30;0.026
26/08/2005 19:30;26/08/2005 20:00;0.002
26/08/2005 20:00;26/08/2005 20:30;0
26/08/2005 20:30;26/08/2005 21:00;0
26/08/2005 21:00;26/08/2005 21:30;0
26/08/2005 21:30;26/08/2005 22:00;0
26/08/2005 22:00;26/08/2005 22:30;0
26/08/2005 22:30;26/08/2005 23:00;0
26/08/2005 23:00;26/08/2005 23:30;0
26/08/2005 23:30;27/08/2005 00:00;0
27/08/2005 00:00;27/08/2005 00:30;0
27/08/2005 00:30;27/08/2005 01:00;0
27/08/2005 01:00;27/08/2005 01:30;0
27/08/2005 01:30;27/08/2005 02:00;0
27/08/2005 02:00;27/08/2005 02:30;0
27/08/2005 02:30;27/08/2005 03:00;0
27/08/2005 03:00;27/08/2005 03:30;0
27/08/2005 03:30;27/08/2005 04:00;0
27/08/2005 04:00;27/08/2005 04:30;0
27/08/2005 04:30;27/08/2005 05:00;0
27/08/2005 05:00;27/08/2005 05:30;0
27/08/2005 05:30;27/08/2005 06:00;0.002
27/08/2005 06:00;27/08/2005 06:30;0.023
27/08/2005 06:30;27/08/2005 07:00;0.033
27/08/2005 07:00;27/08/2005 07:30;0.133
27/08/2005 07:30;27/08/2005 08:00;0.251
27/08/2005 08:00;27/08/2005 08:30;0.333
27/08/2005 08:30;27/08/2005 09:00;0.397
27/08/2005 09:00;27/08/2005 09:30;0.501
27/08/2005 09:30;27/08/2005 10:00;0.612
27/08/2005 10:00;27/08/2005 10:30;0.517
27/08/2005 10:30;27/08/2005 11:00;0.535
27/08/2005 11:00;27/08/2005 11:30;0.697
27/08/2005 11:30;27/08/2005 12:00;0.712
27/08/2005 12:00;27/08/2005 12:30;0.675
27/08/2005 12:30;27/08/2005 13:00;0.756
27/08/2005 13:00;27/08/2005 13:30;0.736
27/08/2005 13:30;27/08/2005 14:00;0.604
27/08/2005 14:00;27/08/2005 14:30;0.733
27/08/2005 14:30;27/08/2005 15:00;0.683
27/08/2005 15:00;27/08/2005 15:30;0.629
27/08/2005 15:30;27/08/2005 16:00;0.585
27/08/2005 16:00;27/08/2005 16:30;0.547
27/08/2005 16:30;27/08/2005 17:00;0.443
27/08/2005 17:00;27/08/2005 17:30;0.331
27/08/2005 17:30;27/08/2005 18:00;0.243
27/08/2005 18:00;27/08/2005 18:30;0.181
27/08/2005 18:30;27/08/2005 19:00;0.089
27/08/2005 19:00;27/08/2005 19:30;0.02
27/08/2005 19:30;27/08/2005 20:00;0.001
27/08/2005 20:00;27/08/2005 20:30;0
27/08/2005 20:30;27/08/2005 21:00;0
27/08/2005 21:00;27/08/2005 21:30;0
27/08/2005 21:30;27/08/2005 22:00;0
27/08/2005 22:00;27/08/2005 22:30;0
27/08/2005 22:30;27/08/2005 23:00;0
27/08/2005 23:00;27/08/2005 23:30;0
27/08/2005 23:30;28/08/2005 00:00;0
28/08/2005 00:00;28/08/2005 00:30;0
28/08/2005 00:30;28/08/2005 01:00;0
28/08/2005 01:00;28/08/2005 01:30;0
28/08/2005 01:30;28/08/2005 02:00;0
28/08/2005 02:00;28/08/2005 02:30;0
28/08/2005 02:30;28/08/2005 03:00;0
28/08/2005 03:00;28/08/2005 03:30;0
28/08/2005 03:30;28/08/2005 04:00;0
28/08/2005 04:00;28/08/2005 04:30;0
28/08/2005 04:30;28/08/2005 05:00;0
28/08/2005 05:00;28/08/2005 05:30;0
28/08/2005 05:30;28/08/2005 06:00;0.003
28/08/2005 06:00;28/08/2005 06:30;0.012
28/08/2005 06:30;28/08/2005 07:00;0.011
28/08/2005 07:00;28/08/2005 07:30;0.039
28/08/2005 07:30;28/08/2005 08:00;0.12
28/08/2005 08:00;28/08/2005 08:30;0.18
28/08/2005 08:30;28/08/2005 09:00;0.098
28/08/2005 09:00;28/08/2005 09:30;0.055
28/08/2005 09:30;28/08/2005 10:00;0.054
28/08/2005 10:00;28/08/2005 10:30;0.079
28/08/2005 10:30;28/08/2005 11:00;0.054
28/08/2005 11:00;28/08/2005 11:30;0.133
28/08/2005 11:30;28/08/2005 12:00;0.124
28/08/2005 12:00;28/08/2005 12:30;0.253
28/08/2005 12:30;28/08/2005 13:00;0.166
28/08/2005 13:00;28/08/2005 13:30;0.145
28/08/2005 13:30;28/08/2005 14:00;0.2
28/08/2005 14:00;28/08/2005 14:30;0.4
28/08/2005 14:30;28/08/2005 15:00;0.238
28/08/2005 15:00;28/08/2005 15:30;0.396
28/08/2005 15:30;28/08/2005 16:00;0.284
28/08/2005 16:00;28/08/2005 16:30;0.181
28/08/2005 16:30;28/08/2005 17:00;0.249
28/08/2005 17:00;28/08/2005 17:30;0.146
28/08/2005 17:30;28/08/2005 18:00;0.184
28/08/2005 18:00;28/08/2005 18:30;0.11
28/08/2005 18:30;28/08/2005 19:00;0.036
28/08/2005 19:00;28/08/2005 19:30;0.011
28/08/2005 19:30;28/08/2005 20:00;0.001
28/08/2005 20:00;28/08/2005 20:30;0
28/08/2005 20:30;28/08/2005 21:00;0
28/08/2005 21:00;28/08/2005 21:30;0
28/08/2005 21:30;28/08/2005 22:00;0
28/08/2005 22:00;28/08/2005 22:30;0
28/08/2005 22:30;28/08/2005 23:00;0
28/08/2005 23:00;28/08/2005 23:30;0
28/08/2005 23:30;29/08/2005 00:00;0
29/08/2005 00:00;29/08/2005 00:30;0
29/08/2005 00:30;29/08/2005 01:00;0
29/08/2005 01:00;29/08/2005 01:30;0
29/08/2005 01:30;29/08/2005 02:00;0
29/08/2005 02:00;29/08/2005 02:30;0
