Start;End;SoilTemp
13/05/2002 08:00;13/05/2002 09:00;13.262
13/05/2002 09:00;13/05/2002 10:00;20.08833333
13/05/2002 10:00;13/05/2002 11:00;15.79166667
13/05/2002 11:00;13/05/2002 12:00;12.54333333
13/05/2002 12:00;13/05/2002 13:00;10.98666667
13/05/2002 13:00;13/05/2002 14:00;11.44166667
13/05/2002 14:00;13/05/2002 15:00;11.32333333
13/05/2002 15:00;13/05/2002 16:00;10.47833333
13/05/2002 16:00;13/05/2002 17:00;10.18833333
13/05/2002 17:00;13/05/2002 18:00;9.53
13/05/2002 18:00;13/05/2002 19:00;8.64
13/05/2002 19:00;13/05/2002 20:00;7.82
13/05/2002 20:00;13/05/2002 21:00;7.279333333
13/05/2002 21:00;13/05/2002 22:00;7.1405
13/05/2002 22:00;13/05/2002 23:00;7.263333333
13/05/2002 23:00;14/05/2002 00:00;7.029666667
14/05/2002 00:00;14/05/2002 01:00;6.746
14/05/2002 01:00;14/05/2002 02:00;6.526
14/05/2002 02:00;14/05/2002 03:00;6.324
14/05/2002 03:00;14/05/2002 04:00;6.136
14/05/2002 04:00;14/05/2002 05:00;5.9195
14/05/2002 05:00;14/05/2002 06:00;5.780833333
14/05/2002 06:00;14/05/2002 07:00;5.583666667
14/05/2002 07:00;14/05/2002 08:00;5.247166667
14/05/2002 08:00;14/05/2002 09:00;4.911666667
14/05/2002 09:00;14/05/2002 10:00;8.217666667
14/05/2002 10:00;14/05/2002 11:00;8.743666667
14/05/2002 11:00;14/05/2002 12:00;9.6575
14/05/2002 12:00;14/05/2002 13:00;9.686666667
14/05/2002 13:00;14/05/2002 14:00;9.330166667
14/05/2002 14:00;14/05/2002 15:00;9.409166667
14/05/2002 15:00;14/05/2002 16:00;9.553333333
14/05/2002 16:00;14/05/2002 17:00;8.854666667
14/05/2002 17:00;14/05/2002 18:00;9.065666667
14/05/2002 18:00;14/05/2002 19:00;8.606333333
14/05/2002 19:00;14/05/2002 20:00;8.3085
14/05/2002 20:00;14/05/2002 21:00;8.036333333
14/05/2002 21:00;14/05/2002 22:00;8.051833333
14/05/2002 22:00;14/05/2002 23:00;8.071333333
14/05/2002 23:00;15/05/2002 00:00;7.831
15/05/2002 00:00;15/05/2002 01:00;7.8295
15/05/2002 01:00;15/05/2002 02:00;7.881166667
15/05/2002 02:00;15/05/2002 03:00;8.231
15/05/2002 03:00;15/05/2002 04:00;8.048833333
15/05/2002 04:00;15/05/2002 05:00;7.7655
15/05/2002 05:00;15/05/2002 06:00;7.705166667
15/05/2002 06:00;15/05/2002 07:00;8.573333333
15/05/2002 07:00;15/05/2002 08:00;10.43833333
15/05/2002 08:00;15/05/2002 09:00;13.34333333
15/05/2002 09:00;15/05/2002 10:00;10.27833333
15/05/2002 10:00;15/05/2002 11:00;6.8035
15/05/2002 11:00;15/05/2002 12:00;7.002
15/05/2002 12:00;15/05/2002 13:00;7.218333333
15/05/2002 13:00;15/05/2002 14:00;7.491833333
15/05/2002 14:00;15/05/2002 15:00;7.601
15/05/2002 17:00;15/05/2002 18:00;8.066666667
15/05/2002 18:00;15/05/2002 19:00;7.786666667
15/05/2002 19:00;15/05/2002 20:00;7.262
15/05/2002 20:00;15/05/2002 21:00;6.895166667
15/05/2002 21:00;15/05/2002 22:00;6.545166667
15/05/2002 22:00;15/05/2002 23:00;6.430833333
15/05/2002 23:00;16/05/2002 00:00;6.305666667
16/05/2002 00:00;16/05/2002 01:00;6.2665
16/05/2002 01:00;16/05/2002 02:00;6.154666667
16/05/2002 02:00;16/05/2002 03:00;6.13
16/05/2002 03:00;16/05/2002 04:00;5.865
16/05/2002 04:00;16/05/2002 05:00;6.013666667
16/05/2002 05:00;16/05/2002 06:00;6.010666667
16/05/2002 06:00;16/05/2002 07:00;6.222166667
16/05/2002 07:00;16/05/2002 08:00;6.702833333
16/05/2002 08:00;16/05/2002 09:00;7.031333333
16/05/2002 09:00;16/05/2002 10:00;7.89
16/05/2002 10:00;16/05/2002 11:00;8.091666667
16/05/2002 11:00;16/05/2002 12:00;8.286666667
16/05/2002 12:00;16/05/2002 13:00;8.63
16/05/2002 13:00;16/05/2002 14:00;8.606666667
16/05/2002 14:00;16/05/2002 15:00;8.815
16/05/2002 15:00;16/05/2002 16:00;8.97
16/05/2002 16:00;16/05/2002 17:00;9.125
16/05/2002 17:00;16/05/2002 18:00;9.255
16/05/2002 18:00;16/05/2002 19:00;9.35
16/05/2002 19:00;16/05/2002 20:00;9.45
16/05/2002 20:00;16/05/2002 21:00;9.586666667
16/05/2002 21:00;16/05/2002 22:00;9.765
16/05/2002 22:00;16/05/2002 23:00;10.135
16/05/2002 23:00;17/05/2002 00:00;10.44666667
17/05/2002 00:00;17/05/2002 01:00;10.66166667
17/05/2002 01:00;17/05/2002 02:00;10.66
17/05/2002 02:00;17/05/2002 03:00;10.31666667
17/05/2002 03:00;17/05/2002 04:00;9.735
17/05/2002 04:00;17/05/2002 05:00;9.005
17/05/2002 05:00;17/05/2002 06:00;8.388333333
17/05/2002 06:00;17/05/2002 07:00;8.125
17/05/2002 07:00;17/05/2002 08:00;8.066666667
17/05/2002 08:00;17/05/2002 09:00;8.345
17/05/2002 09:00;17/05/2002 10:00;8.615
17/05/2002 10:00;17/05/2002 11:00;8.746666667
17/05/2002 11:00;17/05/2002 12:00;9.005
17/05/2002 12:00;17/05/2002 13:00;8.928333333
17/05/2002 13:00;17/05/2002 14:00;9.443333333
17/05/2002 14:00;17/05/2002 15:00;9.786666667
17/05/2002 15:00;17/05/2002 16:00;9.73
17/05/2002 16:00;17/05/2002 17:00;9.65
17/05/2002 17:00;17/05/2002 18:00;9.143333333
17/05/2002 18:00;17/05/2002 19:00;8.741666667
17/05/2002 19:00;17/05/2002 20:00;8.078333333
17/05/2002 20:00;17/05/2002 21:00;7.365333333
17/05/2002 21:00;17/05/2002 22:00;6.5495
17/05/2002 22:00;17/05/2002 23:00;5.933333333
17/05/2002 23:00;18/05/2002 00:00;5.375
18/05/2002 00:00;18/05/2002 01:00;4.940333333
18/05/2002 01:00;18/05/2002 02:00;4.4585
18/05/2002 02:00;18/05/2002 03:00;3.842333333
18/05/2002 03:00;18/05/2002 04:00;3.449666667
18/05/2002 04:00;18/05/2002 05:00;3.121666667
18/05/2002 05:00;18/05/2002 06:00;3.018833333
18/05/2002 06:00;18/05/2002 07:00;3.420333333
18/05/2002 07:00;18/05/2002 08:00;4.109
18/05/2002 08:00;18/05/2002 09:00;5.02
18/05/2002 09:00;18/05/2002 10:00;6.384
18/05/2002 10:00;18/05/2002 11:00;6.912
18/05/2002 11:00;18/05/2002 12:00;7.342333333
18/05/2002 12:00;18/05/2002 13:00;7.397666667
18/05/2002 13:00;18/05/2002 14:00;7.761666667
18/05/2002 14:00;18/05/2002 15:00;7.292833333
18/05/2002 15:00;18/05/2002 16:00;7.246666667
18/05/2002 16:00;18/05/2002 17:00;7.271666667
18/05/2002 17:00;18/05/2002 18:00;7.385
18/05/2002 18:00;18/05/2002 19:00;7.243333333
18/05/2002 19:00;18/05/2002 20:00;6.927833333
18/05/2002 20:00;18/05/2002 21:00;6.54
18/05/2002 21:00;18/05/2002 22:00;6.2795
18/05/2002 22:00;18/05/2002 23:00;6.045166667
18/05/2002 23:00;19/05/2002 00:00;5.919166667
19/05/2002 00:00;19/05/2002 01:00;5.825833333
19/05/2002 01:00;19/05/2002 02:00;5.573166667
19/05/2002 02:00;19/05/2002 03:00;5.292
19/05/2002 03:00;19/05/2002 04:00;4.992
19/05/2002 04:00;19/05/2002 05:00;4.875666667
19/05/2002 05:00;19/05/2002 06:00;4.823666667
19/05/2002 06:00;19/05/2002 07:00;4.915333333
19/05/2002 07:00;19/05/2002 08:00;5.238833333
19/05/2002 08:00;19/05/2002 09:00;5.822
19/05/2002 09:00;19/05/2002 10:00;6.605333333
19/05/2002 10:00;19/05/2002 11:00;7.435666667
19/05/2002 11:00;19/05/2002 12:00;8.686666667
19/05/2002 12:00;19/05/2002 13:00;9.738333333
19/05/2002 13:00;19/05/2002 14:00;9.815
19/05/2002 14:00;19/05/2002 15:00;10.00166667
19/05/2002 15:00;19/05/2002 16:00;10.175
19/05/2002 16:00;19/05/2002 17:00;10.39666667
19/05/2002 17:00;19/05/2002 18:00;9.31
19/05/2002 18:00;19/05/2002 19:00;8.748333333
19/05/2002 19:00;19/05/2002 20:00;8.01
19/05/2002 20:00;19/05/2002 21:00;7.241
19/05/2002 21:00;19/05/2002 22:00;6.6975
19/05/2002 22:00;19/05/2002 23:00;6.346333333
19/05/2002 23:00;20/05/2002 00:00;5.814833333
20/05/2002 00:00;20/05/2002 01:00;5.15
20/05/2002 01:00;20/05/2002 02:00;4.707666667
20/05/2002 02:00;20/05/2002 03:00;4.345166667
20/05/2002 03:00;20/05/2002 04:00;3.912
20/05/2002 04:00;20/05/2002 05:00;3.550166667
20/05/2002 05:00;20/05/2002 06:00;3.346333333
20/05/2002 06:00;20/05/2002 07:00;3.651
20/05/2002 07:00;20/05/2002 08:00;4.529666667
20/05/2002 08:00;20/05/2002 09:00;5.899166667
20/05/2002 09:00;20/05/2002 10:00;7.282166667
20/05/2002 10:00;20/05/2002 11:00;8.6515
20/05/2002 11:00;20/05/2002 12:00;10.01833333
20/05/2002 12:00;20/05/2002 13:00;11.46833333
20/05/2002 13:00;20/05/2002 14:00;12.605
20/05/2002 14:00;20/05/2002 15:00;13.10333333
20/05/2002 15:00;20/05/2002 16:00;12.71
20/05/2002 16:00;20/05/2002 17:00;11.82166667
20/05/2002 17:00;20/05/2002 18:00;11.33166667
20/05/2002 18:00;20/05/2002 19:00;10.31666667
20/05/2002 19:00;20/05/2002 20:00;9.41
20/05/2002 20:00;20/05/2002 21:00;8.753333333
20/05/2002 21:00;20/05/2002 22:00;8.116666667
20/05/2002 22:00;20/05/2002 23:00;7.896666667
20/05/2002 23:00;21/05/2002 00:00;7.66
21/05/2002 00:00;21/05/2002 01:00;7.228166667
21/05/2002 01:00;21/05/2002 02:00;6.847833333
21/05/2002 02:00;21/05/2002 03:00;6.3
21/05/2002 03:00;21/05/2002 04:00;5.851
21/05/2002 04:00;21/05/2002 05:00;5.467833333
21/05/2002 05:00;21/05/2002 06:00;5.347
21/05/2002 06:00;21/05/2002 07:00;5.681166667
21/05/2002 07:00;21/05/2002 08:00;6.4925
21/05/2002 08:00;21/05/2002 09:00;7.384333333
21/05/2002 09:00;21/05/2002 10:00;8.188333333
21/05/2002 10:00;21/05/2002 11:00;9.94
21/05/2002 11:00;21/05/2002 12:00;11.14
21/05/2002 12:00;21/05/2002 13:00;10.65833333
21/05/2002 13:00;21/05/2002 14:00;10.11333333
21/05/2002 14:00;21/05/2002 15:00;10.53666667
21/05/2002 15:00;21/05/2002 16:00;10.975
21/05/2002 16:00;21/05/2002 17:00;11.45
21/05/2002 17:00;21/05/2002 18:00;10.24666667
21/05/2002 18:00;21/05/2002 19:00;9.915
21/05/2002 19:00;21/05/2002 20:00;9.43
21/05/2002 20:00;21/05/2002 21:00;8.631666667
21/05/2002 21:00;21/05/2002 22:00;7.86
21/05/2002 22:00;21/05/2002 23:00;7.281166667
21/05/2002 23:00;22/05/2002 00:00;6.848666667
22/05/2002 00:00;22/05/2002 01:00;6.419666667
22/05/2002 01:00;22/05/2002 02:00;5.8125
22/05/2002 02:00;22/05/2002 03:00;5.475333333
22/05/2002 03:00;22/05/2002 04:00;5.284166667
22/05/2002 04:00;22/05/2002 05:00;5.055666667
22/05/2002 05:00;22/05/2002 06:00;4.917833333
22/05/2002 06:00;22/05/2002 07:00;5.263333333
22/05/2002 07:00;22/05/2002 08:00;6.063
22/05/2002 08:00;22/05/2002 09:00;7.282166667
22/05/2002 09:00;22/05/2002 10:00;8.75
22/05/2002 10:00;22/05/2002 11:00;10.36
22/05/2002 11:00;22/05/2002 12:00;11.75166667
22/05/2002 12:00;22/05/2002 13:00;12.83666667
22/05/2002 13:00;22/05/2002 14:00;14.075
22/05/2002 14:00;22/05/2002 15:00;14.855
22/05/2002 15:00;22/05/2002 16:00;15.01833333
22/05/2002 16:00;22/05/2002 17:00;14.13333333
22/05/2002 17:00;22/05/2002 18:00;13.295
22/05/2002 18:00;22/05/2002 19:00;12.78833333
22/05/2002 19:00;22/05/2002 20:00;12.145
22/05/2002 20:00;22/05/2002 21:00;11.50666667
22/05/2002 21:00;22/05/2002 22:00;10.96166667
22/05/2002 22:00;22/05/2002 23:00;10.52333333
22/05/2002 23:00;23/05/2002 00:00;10.12333333
23/05/2002 00:00;23/05/2002 01:00;9.731666667
23/05/2002 01:00;23/05/2002 02:00;9.308333333
23/05/2002 02:00;23/05/2002 03:00;9.001666667
23/05/2002 03:00;23/05/2002 04:00;8.72
23/05/2002 04:00;23/05/2002 05:00;8.483333333
23/05/2002 05:00;23/05/2002 06:00;8.258333333
23/05/2002 06:00;23/05/2002 07:00;8.378333333
23/05/2002 07:00;23/05/2002 08:00;8.833333333
23/05/2002 08:00;23/05/2002 09:00;9.766666667
23/05/2002 09:00;23/05/2002 10:00;10.78333333
23/05/2002 10:00;23/05/2002 11:00;16.93166667
23/05/2002 11:00;23/05/2002 12:00;23.87
23/05/2002 12:00;23/05/2002 13:00;25.89
23/05/2002 13:00;23/05/2002 14:00;27.33833333
23/05/2002 14:00;23/05/2002 15:00;27.15666667
23/05/2002 15:00;23/05/2002 16:00;26.98
23/05/2002 16:00;23/05/2002 17:00;25.95666667
23/05/2002 17:00;23/05/2002 18:00;23.77833333
23/05/2002 18:00;23/05/2002 19:00;22.78166667
23/05/2002 19:00;23/05/2002 20:00;19.89833333
23/05/2002 20:00;23/05/2002 21:00;15.67166667
23/05/2002 21:00;23/05/2002 22:00;15.58333333
23/05/2002 22:00;23/05/2002 23:00;13.015
23/05/2002 23:00;24/05/2002 00:00;10.36666667
24/05/2002 00:00;24/05/2002 01:00;9.834333333
24/05/2002 01:00;24/05/2002 02:00;11.43333333
24/05/2002 02:00;24/05/2002 03:00;13.44666667
24/05/2002 03:00;24/05/2002 04:00;13.81
24/05/2002 04:00;24/05/2002 05:00;15.36333333
24/05/2002 05:00;24/05/2002 06:00;16.64166667
24/05/2002 06:00;24/05/2002 07:00;17.06666667
24/05/2002 07:00;24/05/2002 08:00;16.96333333
24/05/2002 08:00;24/05/2002 09:00;16.03
24/05/2002 09:00;24/05/2002 10:00;14.61333333
24/05/2002 10:00;24/05/2002 11:00;16.165
24/05/2002 11:00;24/05/2002 12:00;16.60166667
24/05/2002 12:00;24/05/2002 13:00;16.25333333
24/05/2002 13:00;24/05/2002 14:00;15.44166667
24/05/2002 14:00;24/05/2002 15:00;14.455
24/05/2002 15:00;24/05/2002 16:00;14.25333333
24/05/2002 16:00;24/05/2002 17:00;14.70166667
24/05/2002 17:00;24/05/2002 18:00;13.23833333
24/05/2002 18:00;24/05/2002 19:00;11.17333333
24/05/2002 19:00;24/05/2002 20:00;11.68333333
24/05/2002 20:00;24/05/2002 21:00;9.388333333
24/05/2002 21:00;24/05/2002 22:00;5.714166667
24/05/2002 22:00;24/05/2002 23:00;3.609
24/05/2002 23:00;25/05/2002 00:00;0.348166667
25/05/2002 00:00;25/05/2002 01:00;-1.695833333
25/05/2002 01:00;25/05/2002 02:00;-1.005833333
25/05/2002 02:00;25/05/2002 03:00;-1.019333333
25/05/2002 03:00;25/05/2002 04:00;-1.6805
25/05/2002 04:00;25/05/2002 05:00;-2.276166667
25/05/2002 05:00;25/05/2002 06:00;-0.977
25/05/2002 06:00;25/05/2002 07:00;2.652666667
