EZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
365,19890101,    0,    0,
365,19890102,    2,    0,
365,19890103,    1,    0,
365,19890104,    0,    0,
365,19890105,   15,    0,
365,19890106,   68,    0,
365,19890107,    0,    0,
365,19890108,    4,    0,
365,19890109,    1,    0,
365,19890110,   22,    0,
365,19890111,   10,    0,
365,19890112,    0,    0,
365,19890113,   29,    0,
365,19890114,    1,    0,
365,19890115,   15,    0,
365,19890116,    1,    0,
365,19890117,    1,    0,
365,19890118,    9,    0,
365,19890119,    0,    0,
365,19890120,    1,    0,
365,19890121,    0,    0,
365,19890122,    7,    0,
365,19890123,    1,    0,
365,19890124,    1,    0,
365,19890125,    1,    0,
365,19890126,    1,    0,
365,19890127,    0,    0,
365,19890128,    0,    0,
365,19890129,    9,    0,
365,19890130,    2,    0,
365,19890131,    0,    0,
365,19890201,    2,    0,
365,19890202,    2,    0,
365,19890203,    0,    0,
365,19890204,    0,    0,
365,19890205,   27,    0,
365,19890206,    1,    0,
365,19890207,    0,    0,
365,19890208,    0,    0,
365,19890209,    1,    0,
365,19890210,    0,    0,
365,19890211,    0,    0,
365,19890212,   13,    0,
365,19890213,    8,    0,
365,19890214,   72,    0,
365,19890215,    2,    0,
365,19890216,    8,    0,
365,19890217,    9,    0,
365,19890218,   95,    0,
365,19890219,   35,    0,
365,19890220,   28,    0,
365,19890221,    0,    0,
365,19890222,    1,    0,
365,19890223,   26,    0,
365,19890224,    1,    0,
365,19890225,    6,    0,
365,19890226,   12,    0,
365,19890227,   49,    0,
365,19890228,   38,    0,
365,19890301,   62,    0,
365,19890302,   12,    0,
365,19890303,   95,    0,
365,19890304,    1,    0,
365,19890305,    7,    0,
365,19890306,    1,    0,
365,19890307,    0,    0,
365,19890308,  246,    0,
365,19890309,    0,    0,
365,19890310,    0,    0,
365,19890311,    9,    0,
365,19890312,    1,    0,
365,19890313,   18,    0,
365,19890314,    0,    0,
365,19890315,   51,    0,
365,19890316,    3,    0,
365,19890317,   85,    0,
365,19890318,   15,    0,
365,19890319,    1,    0,
365,19890320,    1,    0,
365,19890321,   32,    0,
365,19890322,    3,    0,
365,19890323,   13,    0,
365,19890324,  120,    0,
365,19890325,   52,    0,
365,19890326,    0,    0,
365,19890327,    0,    0,
365,19890328,    0,    0,
365,19890329,    0,    0,
365,19890330,    0,    0,
365,19890331,    0,    0,
365,19890401,    0,    0,
365,19890402,    0,    0,
365,19890403,    0,    0,
365,19890404,    0,    0,
365,19890405,    0,    0,
365,19890406,   10,    0,
365,19890407,  137,    0,
365,19890408,    2,    0,
365,19890409,    0,    0,
365,19890410,    0,    0,
365,19890411,   15,    0,
365,19890412,   55,    0,
365,19890413,   21,    0,
365,19890414,   34,    0,
365,19890415,    1,    0,
365,19890416,    0,    0,
365,19890417,    0,    0,
365,19890418,    0,    0,
365,19890419,   17,    0,
365,19890420,    2,    0,
365,19890421,    0,    0,
365,19890422,    1,    0,
365,19890423,   37,    0,
365,19890424,   26,    0,
365,19890425,   16,    0,
365,19890426,   11,    0,
365,19890427,    1,    0,
365,19890428,    0,    0,
365,19890429,    0,    0,
365,19890430,    0,    0,
365,19890501,    0,    0,
365,19890502,    0,    0,
365,19890503,    0,    0,
365,19890504,    0,    0,
365,19890505,    0,    0,
365,19890506,    0,    0,
365,19890507,    0,    0,
365,19890508,    0,    0,
365,19890509,    0,    0,
365,19890510,    0,    0,
365,19890511,    0,    0,
365,19890512,    0,    0,
365,19890513,   70,    0,
365,19890514,    3,    0,
365,19890515,    0,    0,
365,19890516,    0,    0,
365,19890517,    0,    0,
365,19890518,    0,    0,
365,19890519,    0,    0,
365,19890520,    0,    0,
365,19890521,    0,    0,
365,19890522,    0,    0,
365,19890523,    0,    0,
365,19890524,    0,    0,
365,19890525,    0,    0,
365,19890526,    0,    0,
365,19890527,    0,    0,
365,19890528,    0,    0,
365,19890529,    0,    0,
365,19890530,   24,    0,
365,19890531,   23,    0,
365,19890601,   10,    0,
365,19890602,   20,    0,
365,19890603,    0,    0,
365,19890604,  212,    0,
365,19890605,  175,    0,
365,19890606,    2,    0,
365,19890607,   14,    0,
365,19890608,   14,    0,
365,19890609,   76,    0,
365,19890610,    0,    0,
365,19890611,    0,    0,
365,19890612,    0,    0,
365,19890613,    0,    0,
365,19890614,    0,    0,
365,19890615,    0,    0,
365,19890616,    0,    0,
365,19890617,    0,    0,
365,19890618,    0,    0,
365,19890619,    0,    0,
365,19890620,    0,    0,
365,19890621,    0,    0,
365,19890622,    0,    0,
365,19890623,    0,    0,
365,19890624,    0,    0,
365,19890625,    0,    0,
365,19890626,    0,    0,
365,19890627,   26,    0,
365,19890628,   33,    0,
365,19890629,   71,    0,
365,19890630,  167,    0,
365,19890701,  117,    0,
365,19890702,   59,    0,
365,19890703,    0,    0,
365,19890704,    1,    0,
365,19890705,    0,    0,
365,19890706,    0,    0,
365,19890707,    0,    0,
365,19890708,    0,    0,
365,19890709,  169,    0,
365,19890710,    0,    0,
365,19890711,    0,    0,
365,19890712,    0,    0,
365,19890713,    2,    0,
