station;date;time;prec
6069;13.04.2014;0;0
6069;13.04.2014;1;0
6069;13.04.2014;2;0
6069;13.04.2014;3;0
6069;13.04.2014;4;0
6069;13.04.2014;5;0
6069;13.04.2014;6;0
6069;13.04.2014;7;0
6069;13.04.2014;8;0
6069;13.04.2014;9;0.3
6069;13.04.2014;10;0.1
6069;13.04.2014;11;0
6069;13.04.2014;12;0.2
6069;13.04.2014;13;0
6069;13.04.2014;14;0
6069;13.04.2014;15;0
6069;13.04.2014;16;0
6069;13.04.2014;17;0.1
6069;13.04.2014;18;0
6069;13.04.2014;19;0
6069;13.04.2014;20;0
6069;13.04.2014;21;0
6069;13.04.2014;22;1
6069;13.04.2014;23;0.5
6069;14.04.2014;0;0.4
6069;14.04.2014;1;0.1
6069;14.04.2014;2;0
6069;14.04.2014;3;0.4
6069;14.04.2014;4;2
6069;14.04.2014;5;0.1
6069;14.04.2014;6;0
6069;14.04.2014;7;0.1
6069;14.04.2014;8;0.6
6069;14.04.2014;9;0.8
6069;14.04.2014;10;0.1
6069;14.04.2014;11;0
6069;14.04.2014;12;0
6069;14.04.2014;13;0
6069;14.04.2014;14;0
6069;14.04.2014;15;0
6069;14.04.2014;16;0
6069;14.04.2014;17;0
6069;14.04.2014;18;0
6069;14.04.2014;19;0
6069;14.04.2014;20;0
6069;14.04.2014;21;0
6069;14.04.2014;22;0
6069;14.04.2014;23;0
