plot,t.start,t.end,j.NH3
U_1_I,20-08-2021 11:23,20-08-2021 13:40,0.481751824817518
U_1_I,20-08-2021 13:40,20-08-2021 15:46,0.523809523809524
U_1_I,20-08-2021 15:46,20-08-2021 18:23,0.382165605095541
U_1_I,20-08-2021 18:23,21-08-2021 07:10,0.172099087353325
U_1_I,21-08-2021 07:10,21-08-2021 10:11,0.0994475138121546
U_1_I,21-08-2021 10:11,21-08-2021 13:08,0.135593220338983
U_1_I,21-08-2021 13:08,21-08-2021 16:04,0.0681818181818183
U_1_I,21-08-2021 16:04,21-08-2021 18:35,0.0794701986754968
U_1_I,21-08-2021 18:35,22-08-2021 07:15,0.0789473684210526
U_1_I,22-08-2021 07:15,22-08-2021 10:35,0.0299999999999999
U_1_I,22-08-2021 10:35,22-08-2021 13:22,0.0718562874251498
U_1_I,22-08-2021 13:22,22-08-2021 15:51,0.0805369127516779
U_1_I,22-08-2021 15:51,22-08-2021 18:22,0.0794701986754964
U_1_I,22-08-2021 18:22,23-08-2021 07:19,0.0386100386100386
U_1_I,23-08-2021 07:19,23-08-2021 10:19,0.0333333333333338
U_1_I,23-08-2021 10:19,23-08-2021 13:01,0.0370370370370369
U_1_I,23-08-2021 13:01,23-08-2021 16:06,0.0648648648648646
U_1_I,23-08-2021 16:06,23-08-2021 19:03,0.0338983050847456
U_1_I,23-08-2021 19:03,24-08-2021 07:06,0.0165975103734441
U_1_I,24-08-2021 07:06,24-08-2021 10:19,0
U_1_I,24-08-2021 10:19,24-08-2021 12:54,0.0387096774193547
U_1_I,24-08-2021 12:54,24-08-2021 16:28,0.05607476635514
U_1_I,24-08-2021 16:28,24-08-2021 18:43,0
U_1_I,24-08-2021 18:43,25-08-2021 07:08,0.0483221476510068
U_1_I,25-08-2021 07:08,25-08-2021 13:17,0.016260162601626
U_1_I,25-08-2021 13:17,25-08-2021 16:17,0
U_1_I,25-08-2021 16:17,25-08-2021 18:43,0
U_1_I,25-08-2021 18:43,26-08-2021 07:13,0
U_1_I,26-08-2021 07:13,26-08-2021 10:50,0
U_1_I,26-08-2021 10:50,26-08-2021 14:45,0
U_1_I,26-08-2021 14:45,26-08-2021 18:36,0
U_1_I,26-08-2021 18:36,27-08-2021 07:16,0
U_1_I,27-08-2021 07:16,27-08-2021 17:24,0
U_1_I,27-08-2021 17:24,28-08-2021 07:57,0
U_1_I,28-08-2021 07:57,28-08-2021 13:44,0
U_1_I,28-08-2021 13:44,29-08-2021 07:58,0
U_1_I,29-08-2021 07:58,29-08-2021 12:58,0
U_2_I,20-08-2021 11:33,20-08-2021 13:52,0.431654676258993
U_2_I,20-08-2021 13:52,20-08-2021 15:50,0.508474576271186
U_2_I,20-08-2021 15:50,20-08-2021 18:27,0.45859872611465
U_2_I,20-08-2021 18:27,21-08-2021 07:17,0.187012987012987
U_2_I,21-08-2021 07:17,21-08-2021 10:18,0.132596685082873
U_2_I,21-08-2021 10:18,21-08-2021 13:14,0.136363636363636
U_2_I,21-08-2021 13:14,21-08-2021 16:10,0.136363636363636
U_2_I,21-08-2021 16:10,21-08-2021 18:29,0.0863309352517986
U_2_I,21-08-2021 18:29,22-08-2021 07:19,0.0623376623376623
U_2_I,22-08-2021 07:19,22-08-2021 10:40,0.0597014925373135
U_2_I,22-08-2021 10:40,22-08-2021 13:26,0.108433734939759
U_2_I,22-08-2021 13:26,22-08-2021 15:55,0.120805369127516
U_2_I,22-08-2021 15:55,22-08-2021 18:26,0.0794701986754971
U_2_I,22-08-2021 18:26,23-08-2021 07:24,0.038560411311054
U_2_I,23-08-2021 07:24,23-08-2021 10:25,0.0331491712707181
U_2_I,23-08-2021 10:25,23-08-2021 13:05,0.0374999999999999
U_2_I,23-08-2021 13:05,23-08-2021 16:11,0.0645161290322578
U_2_I,23-08-2021 16:11,23-08-2021 19:07,0.0340909090909096
U_2_I,23-08-2021 19:07,24-08-2021 07:12,0.00827586206896549
U_2_I,24-08-2021 07:12,24-08-2021 10:25,0.0310880829015543
U_2_I,24-08-2021 10:25,24-08-2021 12:59,0
U_2_I,24-08-2021 12:59,24-08-2021 16:32,0.0563380281690139
U_2_I,24-08-2021 16:32,24-08-2021 18:48,0.0441176470588242
U_2_I,24-08-2021 18:48,25-08-2021 07:14,0.0160857908847184
U_2_I,25-08-2021 07:14,25-08-2021 13:22,0
U_2_I,25-08-2021 13:22,25-08-2021 16:22,0.0333333333333332
U_2_I,25-08-2021 16:22,25-08-2021 18:48,0
U_2_I,25-08-2021 18:48,26-08-2021 07:19,0
U_2_I,26-08-2021 07:19,26-08-2021 11:02,0
U_2_I,26-08-2021 11:02,26-08-2021 14:50,0
U_2_I,26-08-2021 14:50,26-08-2021 18:40,0
U_2_I,26-08-2021 18:40,27-08-2021 07:20,0
U_2_I,27-08-2021 07:20,27-08-2021 17:29,0
U_2_I,27-08-2021 17:29,28-08-2021 08:02,0
U_2_I,28-08-2021 08:02,28-08-2021 13:49,0
U_2_I,28-08-2021 13:49,29-08-2021 08:03,0
U_2_I,29-08-2021 08:03,29-08-2021 13:03,0
U_3_I,20-08-2021 11:40,20-08-2021 14:01,0.553191489361702
U_3_I,20-08-2021 14:01,20-08-2021 15:58,0.512820512820513
U_3_I,20-08-2021 15:58,20-08-2021 18:33,0.425806451612903
U_3_I,20-08-2021 18:33,21-08-2021 07:23,0.225974025974026
U_3_I,21-08-2021 07:23,21-08-2021 10:25,0.131868131868132
U_3_I,21-08-2021 10:25,21-08-2021 13:19,0.172413793103448
U_3_I,21-08-2021 13:19,21-08-2021 16:16,0.135593220338983
U_3_I,21-08-2021 16:16,21-08-2021 18:22,0.0952380952380953
U_3_I,21-08-2021 18:22,22-08-2021 07:23,0.0614596670934699
