project,experiment,field,plot_code,plot_code,replicate,shift,t_start,t_end,time.4,meas_tech,meas_tech_det,detect_lim,d_val,d_unit,flux,flux_unit,surf_pH,temp,air_temp_z,soil_temp,soil_temp_z,soil_surf_temp,radiation,wind2m,wind_z
B1990-15,B1990-15,1-Slootdorp,001,001,"",1,"","",0.5,IHF,IHF,"","","",3.22690368,kg N/ha-hr,"",8.9,10,"","","",75.2,5.1,2
B1990-15,B1990-15,1-Slootdorp,001,001,"",2,"","",1,IHF,IHF,"","","",2.73585312,kg N/ha-hr,"",9.3,10,"","","",210.3,5.3,2
B1990-15,B1990-15,1-Slootdorp,001,001,"",3,"","",2.3,IHF,IHF,"","","",2.25700257391304,kg N/ha-hr,"",10.2,10,"","","",687.8,6.6,2
B1990-15,B1990-15,1-Slootdorp,001,001,"",4,"","",2.3,IHF,IHF,"","","",1.46400166956522,kg N/ha-hr,"",10.5,10,"","","",947.6,7.6,2
B1990-15,B1990-15,1-Slootdorp,001,001,"",5,"","",2.9,IHF,IHF,"","","",0.725690482758621,kg N/ha-hr,"",9,10,"","","",986.1,7.5,2
B1990-15,B1990-15,1-Slootdorp,001,001,"",6,"","",14,IHF,IHF,"","","",0.22047168,kg N/ha-hr,"",8.5,10,"","","",1102.8,5.7,2
B1990-15,B1990-15,1-Slootdorp,001,001,"",7,"","",24.5,IHF,IHF,"","","",0.188975725714286,kg N/ha-hr,"",8.7,10,"","","",3116.7,4.1,2
B1990-15,B1990-15,1-Slootdorp,001,001,"",8,"","",23.8,IHF,IHF,"","","",0.1002144,kg N/ha-hr,"",9.1,10,"","","",3858.6,2.8,2
B1990-15,B1990-15,1-Slootdorp,001,001,"",9,"","",23.1,IHF,IHF,"","","",0.0546624,kg N/ha-hr,"",9.8,10,"","","",4630.5,3.1,2
B1990-15,B1990-15,2-Slootdorp,002,002,"",1,"","",0.5,IHF,IHF,"","","",0.30462432,kg N/ha-hr,"",5.4,10,"","","",18.5,2.3,2
