project,experiment,plot_code,treatment_descrip
B1990-15,B1990-15,001,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1990-15,B1990-15,002,SurfaceBroadcast Incorporation 04 Spring tine cultivator+roller None bare soil
B1990-15,B1990-15,004,Deep placement 10 Injector None bare soil
B1990-35,B1990-35,005,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1990-35,B1990-35,007,SurfaceBroadcast Incorporation 05 Spring tine cultivator+clodbreaker None bare soil
B1990-35,B1990-35,008,Deep placement 10 Injector None bare soil
B1990-37,B1990-37,009,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1990-37,B1990-37,010,Deep placement 10 Injector None bare soil
B1990-37,B1990-37,011,SurfaceBroadcast Incorporation 05 Spring tine cultivator+clodbreaker None bare soil
B1990-37,B1990-37,012,SurfaceBroadcast Incorporation 02 Rigid tine cultivator None bare soil
B1990-38,B1990-38,070,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1990-38,B1990-38,071,SurfaceBroadcast Incorporation 02 Rigid tine cultivator None bare soil
B1990-38,B1990-38,072,SurfaceBroadcast Incorporation 08 Driven rotary harrow None bare soil
B1990-38,B1990-38,073,Deep placement 09 Mouldboard plough None bare soil
B1990-38,B1990-38,074,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1990-38,B1990-38,075,SurfaceBroadcast Incorporation 02 Rigid tine cultivator None bare soil
B1990-38,B1990-38,076,SurfaceBroadcast Incorporation 08 Driven rotary harrow None bare soil
B1990-38,B1990-38,077,Deep placement 09 Mouldboard plough None bare soil
B1990-39,B1990-39,078,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1990-39,B1990-39,082,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1991-13,B1991-13,021,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1991-13,B1991-13,022,SurfaceBroadcast Incorporation 04 Spring tine cultivator+roller None bare soil
B1991-14,B1991-14,025,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1991-18,B1991-18,027,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1991-36,B1991-36,028,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
B1991-37,B1991-37,029,SurfaceBroadcast 01 Surface spreading splash plate None bare soil
