project,experiment,field,plot_code,plot_code,replicate,shift,t_start,t_end,time.4,meas_tech,meas_tech_det,detect_lim,d_val,d_unit,flux,flux_unit,surf_pH,temp,air_temp_z,soil_temp,soil_temp_z,soil_surf_temp,radiation,wind2m
G1989-13,G1989-13,1-Hardenberg,001,001,"",1,"","",1,IHF,IHF,"","","",6.504010752,kg N/ha-hr,"",6.2,10,"","","",180,2.8
G1989-13,G1989-13,1-Hardenberg,001,001,"",2,"","",2.6,IHF,IHF,"","","",1.85661364615385,kg N/ha-hr,"",10.9,10,"","","",692,2.3
G1989-13,G1989-13,1-Hardenberg,001,001,"",3,"","",3,IHF,IHF,"","","",0.525063368,kg N/ha-hr,"",13,10,"","","",1341,1.6
G1989-13,G1989-13,1-Hardenberg,001,001,"",4,"","",15.4,IHF,IHF,"","","",0.00659903688311688,kg N/ha-hr,"",8.2,10,"","","",1557,0.9
G1989-13,G1989-13,1-Hardenberg,001,001,"",5,"","",3.6,IHF,IHF,"","","",0.0282292133333333,kg N/ha-hr,"",9.9,10,"","","",1908,2.9
G1989-13,G1989-13,1-Hardenberg,001,001,"",6,"","",19.8,IHF,IHF,"","","",0.0436269660606061,kg N/ha-hr,"",9.3,10,"","","",3199,3
G1989-13,G1989-13,1-Hardenberg,001,001,"",7,"","",12,IHF,IHF,"","","",0.0004234382,kg N/ha-hr,"",12.1,10,"","","",4134,1
G1989-13,G1989-13,1-Hardenberg,001,001,"",8,"","",16.4,IHF,IHF,"","","",0.00588682375609756,kg N/ha-hr,"",6.7,10,"","","",4299,1.9
G1989-13,G1989-13,1-Hardenberg,001,001,"",9,"","",22.4,IHF,IHF,"","","",0.0362947028571429,kg N/ha-hr,"",4.5,10,"","","",5193,3.8
G1989-13,G1989-13,3-Hardenberg,003,003,"",1,"","",1.1,IHF,IHF,"","","",0.0691245090909091,kg N/ha-hr,"",6.2,10,"","","",177,2.8
G1989-13,G1989-13,3-Hardenberg,003,003,"",2,"","",2.3,IHF,IHF,"","","",0.165297739130435,kg N/ha-hr,"",10.9,10,"","","",596,2.4
G1989-13,G1989-13,3-Hardenberg,003,003,"",3,"","",3.5,IHF,IHF,"","","",0.130349074285714,kg N/ha-hr,"",13,10,"","","",1381,1.6
G1989-13,G1989-13,3-Hardenberg,003,003,"",4,"","",14.5,IHF,IHF,"","","",0.0104878565517241,kg N/ha-hr,"",8.2,10,"","","",1536,0.8
G1989-13,G1989-13,3-Hardenberg,003,003,"",5,"","",4,IHF,IHF,"","","",0.03801848,kg N/ha-hr,"",9.9,10,"","","",1875,2.1
G1989-13,G1989-13,3-Hardenberg,003,003,"",6,"","",4.2,IHF,IHF,"","","",0.162936342857143,kg N/ha-hr,"",13.5,10,"","","",2776,4
G1989-13,G1989-13,3-Hardenberg,003,003,"",7,"","",19.6,IHF,IHF,"","","",0.0116383102040816,kg N/ha-hr,"",9.4,10,"","","",3392,1.7
G1989-13,G1989-13,3-Hardenberg,003,003,"",8,"","",24,IHF,IHF,"","","",0.0158410333333333,kg N/ha-hr,"",9,10,"","","",4251,2
G1989-13,G1989-13,3-Hardenberg,003,003,"",9,"","",19.9,IHF,IHF,"","","",0.0114628582914573,kg N/ha-hr,"",5,10,"","","",5019,3.8
G1989-15,G1989-15,4-Hardenberg,004,004,"",1,"","",1.1,IHF,IHF,"","","",5.21929090909091,kg N/ha-hr,"",12,10,"","","",179,4.3
G1989-15,G1989-15,4-Hardenberg,004,004,"",2,"","",2.2,IHF,IHF,"","","",2.05224545454545,kg N/ha-hr,"",12.5,10,"","","",504,4.2
G1989-15,G1989-15,4-Hardenberg,004,004,"",3,"","",2.8,IHF,IHF,"","","",1.03517142857143,kg N/ha-hr,"",14,10,"","","",963,4.6
G1989-15,G1989-15,4-Hardenberg,004,004,"",4,"","",3.4,IHF,IHF,"","","",0.2787,kg N/ha-hr,"",13.4,10,"","","",1063,3.2
G1989-15,G1989-15,4-Hardenberg,004,004,"",5,"","",11,IHF,IHF,"","","",0.0608072727272727,kg N/ha-hr,"",11.2,10,"","","",1065,3.2
G1989-15,G1989-15,4-Hardenberg,004,004,"",6,"","",4.9,IHF,IHF,"","","",0.0341265306122449,kg N/ha-hr,"",11.6,10,"","","",1229,1.7
G1989-15,G1989-15,4-Hardenberg,004,004,"",7,"","",7.6,IHF,IHF,"","","",0.0293368421052632,kg N/ha-hr,"",11.4,10,"","","",1469,1.4
