"pid","pmid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int"
1935,1939,36481,5,1,2020-11-18 13:40:00,2020-11-18 15:24:00,"18-11-2020 13:40","18-11-2020 13:40",1.73,1.73,-0.00333,1.73,0.865,1.73,0,NA,0.0037,"ppm",NA,NA,NA,NA,NA,0.0107,0.00011,0.0186,0.0186,0.000191,11.5,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,".",""
1935,1939,36482,6,2,2020-11-18 15:24:00,2020-11-18 17:08:00,"18-11-2020 15:24","18-11-2020 15:24",1.73,1.73,-0.00333,3.46,2.6,3.47,1.73,NA,0.0067,"ppm",NA,NA,NA,NA,NA,0,0,0,0.0186,0.000191,11.6,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36483,7,3,2020-11-18 17:08:00,2020-11-18 18:52:00,"18-11-2020 17:08","18-11-2020 17:08",1.73,1.73,-0.00333,5.19,4.32,5.2,3.47,NA,0.0065,"ppm",NA,NA,NA,NA,NA,0.0075,7.71e-05,0.013,0.0315,0.000324,10.5,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36484,8,4,2020-11-18 18:52:00,2020-11-18 20:36:00,"18-11-2020 18:52","18-11-2020 18:52",1.73,1.73,-0.00333,6.92,6.06,6.93,5.2,NA,0.0067,"ppm",NA,NA,NA,NA,NA,0.0165,0.00017,0.0286,0.0602,0.000618,10.2,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36485,9,5,2020-11-18 20:36:00,2020-11-18 22:20:00,"18-11-2020 20:36","18-11-2020 20:36",1.73,1.73,-0.00333,8.65,7.78,8.67,6.93,NA,0.00662,"ppm",NA,NA,NA,NA,NA,0.0188,0.000193,0.0324,0.0926,0.000952,10.6,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36486,10,6,2020-11-18 22:20:00,2020-11-19 00:04:00,"18-11-2020 22:20","18-11-2020 22:20",1.73,1.73,-0.00333,10.4,9.52,10.4,8.67,NA,0.00684,"ppm",NA,NA,NA,NA,NA,0.0216,0.000222,0.0374,0.13,0.00134,10.6,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36487,11,7,2020-11-19 00:04:00,2020-11-19 01:48:00,"19-11-2020 00:04","19-11-2020 00:04",1.73,1.73,-0.00333,12.1,11.2,12.1,10.4,NA,0.0064,"ppm",NA,NA,NA,NA,NA,0.0231,0.000237,0.04,0.17,0.00175,11.3,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36488,12,8,2020-11-19 01:48:00,2020-11-19 03:32:00,"19-11-2020 01:48","19-11-2020 01:48",1.73,1.73,-0.00333,13.8,13,13.9,12.1,NA,0.0052,"ppm",NA,NA,NA,NA,NA,0.0225,0.000231,0.0389,0.209,0.00215,9.51,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36489,13,9,2020-11-19 03:32:00,2020-11-19 05:16:00,"19-11-2020 03:32","19-11-2020 03:32",1.73,1.73,-0.00333,15.6,14.7,15.6,13.9,NA,0.00482,"ppm",NA,NA,NA,NA,NA,0.0248,0.000255,0.043,0.252,0.00259,8.59,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1935,1939,36490,14,10,2020-11-19 05:16:00,2020-11-19 07:00:00,"19-11-2020 05:16","19-11-2020 05:16",1.73,1.73,-0.00333,17.3,16.4,17.3,15.6,NA,0.00494,"ppm",NA,NA,NA,NA,NA,0.0245,0.000252,0.0424,0.294,0.00302,8.67,NA,NA,NA,NA,0.33,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
