"institute","proj","exper","field","plot","rep","app.start","uptake","file","treat","meas.tech","meas.tech.det","rep2","cpmid","pub.id","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","acid","meas.tech.orig","meas.tech2","crop.orig","man.source.orig","app.method.orig","app.method2","incorp.orig","date.start","flag.int","soil.samp.z","inst","pid","pmid","eid"
"AU","MHB","20E","FoulumgårdC","1","1",2020-11-18 13:40:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","tank","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:1.T:tank.R:1.R2:.T:2020-11-18 13:40:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","Acidification",NA,NA,7.85,NA,4.36,2.78,NA,NA,12.5,5.8,2020-11-18 13:40:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,".",5,NA,"11/18/2020 13:40","11/18/2020 13:40","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:1.T:tank.R:1.R2:.T:2020-11-18 13:40:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",97.3,NA,0.0186,0.037,0.138,0.386,0.991,1.68,2.21,NA,3.91,3.91,NA,0.0186,0.037,0.138,0.386,0.991,1.68,2.21,NA,3.91,3.91,NA,0.000191,0.00038,0.00142,0.00397,0.0102,0.0173,0.0228,NA,0.0402,0.0402,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.5,11.2,10.8,9.64,6.92,6.63,6.95,7.31,7.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,96,92,1.73,9.07e-05,0.00882,1.73,4.53,1.73,162,2020-11-18 13:40:00,2020-11-25 06:12:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,TRUE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1943,1947,351
"AU","MHB","20E","FoulumgårdC","10","3",2020-11-18 14:52:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","tank","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:10.T:tank.R:3.R2:.T:2020-11-18 14:52:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","Acidification",NA,NA,7.85,NA,4.36,2.78,NA,NA,12.5,5.8,2020-11-18 14:52:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,12,NA,"11/18/2020 14:52","11/18/2020 14:52","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:10.T:tank.R:3.R2:.T:2020-11-18 14:52:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",97.3,NA,0.00748,0.0245,0.117,0.477,1.56,2.44,3.13,NA,4.95,4.95,NA,0.00748,0.0245,0.117,0.477,1.56,2.44,3.13,NA,4.95,4.95,NA,7.69e-05,0.000252,0.0012,0.0049,0.016,0.025,0.0321,NA,0.0509,0.0509,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.3,10.9,10.8,9.3,6.49,6.39,6.74,7.14,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649,740,92,1.73,2.55e-05,0.00248,1.73,4.53,1.73,162,2020-11-18 14:52:00,2020-11-25 07:24:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,TRUE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1944,1948,351
"AU","MHB","20E","FoulumgårdC","12","3",2020-11-18 15:08:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","field","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:12.T:field.R:3.R2:.T:2020-11-18 15:08:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","Acidification",NA,NA,7.28,NA,4.35,2.96,NA,NA,13,6.3,2020-11-18 15:08:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,13,NA,"11/18/2020 15:08","11/18/2020 15:08","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:12.T:field.R:3.R2:.T:2020-11-18 15:08:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",104,NA,0.562,0.903,1.61,2.76,4.9,7.02,9.29,NA,13.7,13.7,NA,0.562,0.903,1.61,2.76,4.9,7.02,9.29,NA,13.7,13.7,NA,0.00543,0.00872,0.0155,0.0266,0.0473,0.0678,0.0896,NA,0.132,0.132,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.2,10.9,10.8,9.3,6.49,6.43,6.76,7.17,7.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,832,92,1.73,0.000817,0.0847,1.73,4.53,1.73,162,2020-11-18 15:08:00,2020-11-25 07:40:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,TRUE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1945,1949,351
"AU","MHB","20E","FoulumgårdC","2","1",2020-11-18 13:48:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","field","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:2.T:field.R:1.R2:.T:2020-11-18 13:48:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","Acidification",NA,NA,7.28,NA,4.35,2.96,NA,NA,13,6.3,2020-11-18 13:48:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,6,NA,"11/18/2020 13:48","11/18/2020 13:48","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:2.T:field.R:1.R2:.T:2020-11-18 13:48:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",104,NA,0.536,0.831,1.51,2.56,4.42,6.36,8.39,NA,12.3,12.3,NA,0.536,0.831,1.51,2.56,4.42,6.36,8.39,NA,12.3,12.3,NA,0.00517,0.00802,0.0146,0.0247,0.0427,0.0614,0.081,NA,0.119,0.119,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.6,11.2,10.8,9.65,6.92,6.63,6.95,7.3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,188,92,1.73,0.00092,0.0954,1.73,4.53,1.73,162,2020-11-18 13:48:00,2020-11-25 06:20:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,TRUE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1946,1950,351
"AU","MHB","20E","FoulumgårdC","4","1",2020-11-18 14:04:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","none","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:4.T:none.R:1.R2:.T:2020-11-18 14:04:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","None",NA,NA,7.25,NA,4.28,2.72,NA,NA,12.7,6.8,2020-11-18 14:04:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,7,NA,"11/18/2020 14:04","11/18/2020 14:04","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:4.T:none.R:1.R2:.T:2020-11-18 14:04:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",95.2,NA,2.52,3.61,5.54,7.31,9.92,13.8,16.7,NA,20,20,NA,2.52,3.61,5.54,7.31,9.92,13.8,16.7,NA,20,20,NA,0.0264,0.0379,0.0582,0.0768,0.104,0.145,0.175,NA,0.21,0.21,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.5,11.1,10.8,9.61,6.8,6.54,6.9,7.28,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,280,92,1.73,0.00499,0.475,1.73,4.53,1.73,162,2020-11-18 14:04:00,2020-11-25 06:36:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,FALSE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1947,1951,351
"AU","MHB","20E","FoulumgårdC","5","2",2020-11-18 14:12:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","field","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:5.T:field.R:2.R2:.T:2020-11-18 14:12:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","Acidification",NA,NA,7.28,NA,4.35,2.96,NA,NA,13,6.3,2020-11-18 14:12:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,8,NA,"11/18/2020 14:12","11/18/2020 14:12","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:5.T:field.R:2.R2:.T:2020-11-18 14:12:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",104,NA,0.714,1.12,2.05,3.48,5.9,7.76,9.77,NA,14.7,14.7,NA,0.714,1.12,2.05,3.48,5.9,7.76,9.77,NA,14.7,14.7,NA,0.00689,0.0108,0.0198,0.0336,0.057,0.0749,0.0943,NA,0.142,0.142,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.4,11,10.8,9.57,6.77,6.54,6.88,7.27,7.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,372,92,1.73,0.0012,0.124,1.73,4.53,1.73,162,2020-11-18 14:12:00,2020-11-25 06:44:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,TRUE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1948,1952,351
"AU","MHB","20E","FoulumgårdC","6","2",2020-11-18 14:20:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","none","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:6.T:none.R:2.R2:.T:2020-11-18 14:20:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","None",NA,NA,7.25,NA,4.28,2.72,NA,NA,12.7,6.8,2020-11-18 14:20:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,9,NA,"11/18/2020 14:20","11/18/2020 14:20","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:6.T:none.R:2.R2:.T:2020-11-18 14:20:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",95.2,NA,2.39,3.36,5.07,6.99,10.3,13.7,16.3,NA,20,20,NA,2.39,3.36,5.07,6.99,10.3,13.7,16.3,NA,20,20,NA,0.0251,0.0353,0.0533,0.0734,0.109,0.144,0.172,NA,0.21,0.21,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.4,11,10.8,9.57,6.7,6.49,6.83,7.23,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,464,92,1.73,0.00483,0.46,1.73,4.53,1.73,162,2020-11-18 14:20:00,2020-11-25 06:52:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,FALSE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1949,1953,351
"AU","MHB","20E","FoulumgårdC","8","2",2020-11-18 14:36:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","tank","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:8.T:tank.R:2.R2:.T:2020-11-18 14:36:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","Acidification",NA,NA,7.85,NA,4.36,2.78,NA,NA,12.5,5.8,2020-11-18 14:36:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,10,NA,"11/18/2020 14:36","11/18/2020 14:36","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:8.T:tank.R:2.R2:.T:2020-11-18 14:36:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",97.3,NA,0.00408,0.00829,0.102,0.543,1.9,2.95,3.7,NA,5.33,5.33,NA,0.00408,0.00829,0.102,0.543,1.9,2.95,3.7,NA,5.33,5.33,NA,4.19e-05,8.52e-05,0.00105,0.00558,0.0195,0.0303,0.038,NA,0.0548,0.0548,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.4,11,10.8,9.4,6.56,6.42,6.75,7.16,7.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,556,92,1.73,2.42e-05,0.00236,1.73,4.53,1.73,162,2020-11-18 14:36:00,2020-11-25 07:08:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,TRUE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1950,1954,351
"AU","MHB","20E","FoulumgårdC","9","3",2020-11-18 14:44:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","none","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:9.T:none.R:3.R2:.T:2020-11-18 14:44:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","pig",NA,NA,"Slurry","None",NA,NA,7.25,NA,4.28,2.72,NA,NA,12.7,6.8,2020-11-18 14:44:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,11,NA,"11/18/2020 14:44","11/18/2020 14:44","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20E.F:FoulumgårdC.P:9.T:none.R:3.R2:.T:2020-11-18 14:44:00","D:1.I:AU.Pr:MHB.E:20E","m i","Pedersen, Johanna",95.2,NA,2.02,2.84,4.32,6,8.63,11.8,14.2,NA,17.1,17.1,NA,2.02,2.84,4.32,6,8.63,11.8,14.2,NA,17.1,17.1,NA,0.0212,0.0298,0.0454,0.063,0.0906,0.123,0.149,NA,0.18,0.18,NA,0,0,0,0,0,0,0,NA,0,0,NA,11.4,11,10.8,9.34,6.53,6.42,6.75,7.15,7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,648,92,1.73,0.00407,0.387,1.73,4.53,1.73,162,2020-11-18 14:44:00,2020-11-25 07:16:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,FALSE,"Wind tunnel","wt","Grass","Pig","Band spread or trailing hose","bsth","None",2020-11-18,"m i",NA,205,1951,1955,351
"AU","MHB","20F","FoulumgårdC","1","1",2020-11-25 13:48:00,3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx","none","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20F.F:FoulumgårdC.P:1.T:none.R:1.R2:.T:2020-11-25 13:48:00.M:Wind tunnelNA","G",0.2,56.5,9.57,"DK","Flat",9,24,65,NA,NA,0.38,NA,NA,5.4,1.03,"Yes","No","cat",NA,NA,"Slurry","None",NA,NA,9,NA,3.47,2.05,NA,NA,7.8,6.9,2020-11-25 13:48:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,14,NA,"11/25/2020 13:48","11/25/2020 13:48","D:1.I:AU.Pr:MHB.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220310_JP_20EFGH_v2.xlsx.E:20F.F:FoulumgårdC.P:1.T:none.R:1.R2:.T:2020-11-25 13:48:00","D:1.I:AU.Pr:MHB.E:20F","","Pedersen, Johanna",71.8,NA,3.38,5.52,11,17.7,22.5,23.4,24.2,NA,25.2,25.2,NA,3.38,5.52,11,17.7,22.5,23.4,24.2,NA,25.2,25.2,NA,0.0472,0.0769,0.153,0.247,0.313,0.327,0.337,NA,0.351,0.351,NA,0,0,0,0,0,0,0,NA,0,0,NA,7.65,7.79,7.86,7.95,6.41,4.53,3.81,3.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833,927,95,1.73,0.00751,0.539,1.73,1.73,1.73,164,2020-11-25 13:48:00,2020-12-02 08:45:00,"2",NA,NA,NA,NA,"Pedersen, J., Feilberg, A., Nyord, T. 2022. Effect of storage and field acidification on emissions of NH3, NMVOC, and odour from field applied slurry in winter conditions. Journal of Environmental Management, 310. doi.org/10.1016/j.jenvman.2022.114756",NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Band spread or trailing hose","bsth","None",2020-11-25,"",NA,205,1952,1956,352
