"institute","proj","exper","field","plot","rep","app.start","uptake","file","treat","meas.tech","meas.tech.det","rep2","cpmid","pub.id","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","acid","meas.tech.orig","meas.tech2","crop.orig","man.source.orig","app.method.orig","app.method2","incorp.orig","date.start","flag.int","soil.samp.z","inst","pid","pmid","eid"
"AU","MAG","23C","A","1 A","1",2023-04-12 14:45:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:1 A.T:A.R:1.R2:.T:2023-04-12 14:45:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","None",NA,NA,5.56,NA,2.68,1.56,NA,NA,NA,8.3,2023-04-19 09:29:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,".",5,NA,"1681310700","1681896540","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:1 A.T:A.R:1.R2:.T:2023-04-12 14:45:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",54.6,NA,3.32,4.5,6.86,9.76,12.4,14,15.1,NA,16.5,16.5,NA,3.32,4.5,6.86,9.76,12.4,14,15.1,NA,16.5,16.5,NA,0.0609,0.0824,0.126,0.179,0.228,0.256,0.277,NA,0.303,0.303,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,68,64,2.52,0.017,0.928,2.52,3.22,2.52,163,2023-04-12 14:45:00,2023-04-19 06:57:00,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2281,2285,390
"AU","MAG","23C","A","10 A","2",2023-04-12 15:57:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:10 A.T:A.R:2.R2:.T:2023-04-12 15:57:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","None",NA,NA,5.56,NA,2.68,1.56,NA,NA,NA,8.3,2023-04-19 10:41:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,6,NA,"1681315020","1681900860","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:10 A.T:A.R:2.R2:.T:2023-04-12 15:57:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",54.6,NA,5.1,6.83,10.2,14,17.1,18.9,19.9,NA,21.1,21.1,NA,5.1,6.83,10.2,14,17.1,18.9,19.9,NA,21.1,21.1,NA,0.0935,0.125,0.187,0.257,0.314,0.345,0.365,NA,0.387,0.387,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,132,64,2.52,0.0265,1.45,2.52,3.22,2.52,163,2023-04-12 15:57:00,2023-04-19 08:09:00,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2282,2286,390
"AU","MAG","23C","A","11 A sep","2",2023-04-12 16:05:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A sep","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:11 A sep.T:A sep.R:2.R2:.T:2023-04-12 16:05:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Mechanical separation",NA,NA,3.19,NA,2.89,1.49,NA,NA,NA,7.8,2023-04-19 10:49:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,18,NA,"1681315500","1681901340","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:11 A sep.T:A sep.R:2.R2:.T:2023-04-12 16:05:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",52.2,NA,0.309,0.412,0.602,0.863,0.993,0.978,0.876,NA,0.313,0.313,NA,0.309,0.412,0.602,0.863,0.993,0.978,0.876,NA,0.313,0.313,NA,0.00592,0.0079,0.0115,0.0165,0.019,0.0188,0.0168,NA,0.00599,0.00599,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,196,64,2.52,0.00167,0.087,2.52,3.22,2.52,163,2023-04-12 16:05:00,2023-04-19 08:17:00,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2283,2287,390
"AU","MAG","23C","A","12 A dis","2",2023-04-12 16:13:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A dis","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:12 A dis.T:A dis.R:2.R2:.T:2023-04-12 16:13:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Disruption",NA,NA,5.33,NA,3.14,1.45,NA,NA,NA,8.1,2023-04-19 10:57:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,12,NA,"1681315980","1681901820","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:12 A dis.T:A dis.R:2.R2:.T:2023-04-12 16:13:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",50.8,NA,3.2,4.37,6.87,10.3,13.6,15.8,17.5,NA,20.5,20.5,NA,3.2,4.37,6.87,10.3,13.6,15.8,17.5,NA,20.5,20.5,NA,0.0631,0.0862,0.135,0.203,0.269,0.311,0.344,NA,0.404,0.404,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,260,64,2.52,0.0175,0.889,2.52,3.22,2.52,163,2023-04-12 16:13:00,2023-04-19 08:25:00,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2284,2288,390
"AU","MAG","23C","A","13 A dis acid","3",2023-04-12 16:21:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A dis acid","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:13 A dis acid.T:A dis acid.R:3.R2:.T:2023-04-12 16:21:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Disruption","Acidification",NA,5.46,NA,2.8,1.61,NA,NA,NA,6.5,2023-04-19 11:05:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,10,NA,"1681316460","1681902300","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:13 A dis acid.T:A dis acid.R:3.R2:.T:2023-04-12 16:21:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",56.4,NA,2.43,3.42,5.56,8.52,11.9,14,15.7,NA,19.3,19.3,NA,2.43,3.42,5.56,8.52,11.9,14,15.7,NA,19.3,19.3,NA,0.0432,0.0606,0.0986,0.151,0.211,0.248,0.279,NA,0.342,0.342,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,324,64,2.52,0.0115,0.647,2.52,3.22,2.52,163,2023-04-12 16:21:00,2023-04-19 08:33:00,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2285,2289,390
"AU","MAG","23C","A","14 A sep acid","3",2023-04-12 16:29:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A sep acid","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:14 A sep acid.T:A sep acid.R:3.R2:.T:2023-04-12 16:29:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Mechanical separation","Acidification",NA,3.29,NA,2.59,1.53,NA,NA,NA,6.5,2023-04-19 11:13:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,16,NA,"1681316940","1681902780","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:14 A sep acid.T:A sep acid.R:3.R2:.T:2023-04-12 16:29:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",53.6,NA,0.351,0.514,0.938,1.71,2.53,2.96,3.3,NA,3.67,3.67,NA,0.351,0.514,0.938,1.71,2.53,2.96,3.3,NA,3.67,3.67,NA,0.00655,0.0096,0.0175,0.032,0.0472,0.0553,0.0616,NA,0.0686,0.0686,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,388,64,2.52,0.00166,0.0889,2.52,3.22,2.52,163,2023-04-12 16:29:00,2023-04-19 08:41:00,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2286,2290,390
"AU","MAG","23C","A","15 A sep","3",2023-04-12 16:37:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A sep","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:15 A sep.T:A sep.R:3.R2:.T:2023-04-12 16:37:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Mechanical separation",NA,NA,3.19,NA,2.89,1.49,NA,NA,NA,7.8,2023-04-19 11:21:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,19,NA,"1681317420","1681903260","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:15 A sep.T:A sep.R:3.R2:.T:2023-04-12 16:37:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",52.2,NA,0.308,0.429,0.687,1.21,1.72,2,2.31,NA,2.71,2.71,NA,0.308,0.429,0.687,1.21,1.72,2,2.31,NA,2.71,2.71,NA,0.0059,0.00822,0.0132,0.0232,0.0329,0.0384,0.0442,NA,0.052,0.052,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,452,64,2.52,0.00157,0.0819,2.52,3.22,2.52,163,2023-04-12 16:37:00,2023-04-19 08:49:00,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2287,2291,390
"AU","MAG","23C","A","17 A dis","3",2023-04-12 16:53:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A dis","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:17 A dis.T:A dis.R:3.R2:.T:2023-04-12 16:53:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Disruption",NA,NA,5.33,NA,3.14,1.45,NA,NA,NA,8.1,2023-04-19 11:37:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,13,NA,"1681318380","1681904220","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:17 A dis.T:A dis.R:3.R2:.T:2023-04-12 16:53:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",50.8,NA,3.02,4.17,6.61,9.43,12.1,13.7,14.8,NA,15.9,15.9,NA,3.02,4.17,6.61,9.43,12.1,13.7,14.8,NA,15.9,15.9,NA,0.0596,0.0823,0.13,0.186,0.238,0.27,0.292,NA,0.313,0.313,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,516,64,2.52,0.0162,0.822,2.52,3.22,2.52,163,2023-04-12 16:53:00,2023-04-19 09:05:00,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2288,2292,390
"AU","MAG","23C","A","18 A","3",2023-04-12 17:01:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:18 A.T:A.R:3.R2:.T:2023-04-12 17:01:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","None",NA,NA,5.56,NA,2.68,1.56,NA,NA,NA,8.3,2023-04-19 09:13:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,7,NA,"1681318860","1681895580","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:18 A.T:A.R:3.R2:.T:2023-04-12 17:01:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",54.6,NA,3.44,4.8,7.74,11.5,14.7,16.8,18.1,NA,20.2,20.2,NA,3.44,4.8,7.74,11.5,14.7,16.8,18.1,NA,20.2,20.2,NA,0.0629,0.0879,0.142,0.21,0.269,0.307,0.332,NA,0.37,0.37,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,579,63,2.52,0.0169,0.921,2.52,3.22,2.52,160,2023-04-12 17:01:00,2023-04-19 06:41:00,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2289,2293,390
"AU","MAG","23C","A","2 A dis acid","1",2023-04-12 14:53:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx","A dis acid","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:2 A dis acid.T:A dis acid.R:1.R2:.T:2023-04-12 14:53:00.M:Dynamic chamberNA",NA,0.385,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,NA,5.3,1.14,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Disruption","Acidification",NA,5.46,NA,2.8,1.61,NA,NA,NA,6.5,2023-04-19 09:37:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"cereal",12,NA,NA,NA,8,NA,"1681311180","1681897020","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_MAGspring23_231117.xlsx.E:23C.F:A.P:2 A dis acid.T:A dis acid.R:1.R2:.T:2023-04-12 14:53:00","D:1.I:AU.Pr:MAG.E:23C","","Pedersen, Johanna",56.4,NA,2.66,3.47,4.98,7.22,9.41,10.7,11.5,NA,12.5,12.5,NA,2.66,3.47,4.98,7.22,9.41,10.7,11.5,NA,12.5,12.5,NA,0.0471,0.0615,0.0884,0.128,0.167,0.19,0.204,NA,0.221,0.221,NA,0,0,0,0,0,0,0,NA,0,0,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,644,65,2.52,0.0138,0.776,0.8,2.53,2.52,163,2023-04-12 14:53:00,2023-04-19 07:05:00,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Cereal","Mix","Band spread or trailing hose","bsth","None",2023-04-12,"","0-5",205,2290,2294,390
