"institute","proj","exper","field","plot","rep","app.start","sub.period","file","treat","meas.tech","meas.tech.det","rep2","cpmid","pub.id","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","acid","meas.tech.orig","meas.tech2","crop.orig","app.method.orig","incorp.orig","man.source.orig","date.start","flag.int","soil.samp.z","inst","pid","pmid","eid"
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","1","1",2024-09-18 12:30:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","Machine plot DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:1.T:Machine plot DFC.R:1.R2:.T:2024-09-18 12:30:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","None",NA,NA,1.96,NA,2.96,2.49,NA,NA,12.7,7.59,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,".",5,NA,"18-09-2024 12:30",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:1.T:Machine plot DFC.R:1.R2:.T:2024-09-18 12:30:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",87.2,NA,1.81,2.24,2.59,3.17,4.48,6.69,8.27,NA,9.19,9.19,NA,1.81,2.24,2.59,3.17,4.48,6.69,8.27,NA,9.19,9.19,NA,0.0207,0.0257,0.0297,0.0363,0.0515,0.0768,0.0949,NA,0.105,0.105,NA,0,0,0,0,0,0,0,NA,0,0,NA,20,19.3,16.7,14.5,14.6,14.4,14.4,14.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58,54,2.53,0.00617,0.538,2.52,2.53,2.53,137,2024-09-18 12:39:00,2024-09-24 02:51:00,2,NA,2,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3346,3350,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","10","2",2024-09-18 13:51:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","Low acid DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:10.T:Low acid DFC.R:2.R2:.T:2024-09-18 13:51:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","Acidification",NA,NA,2.02,NA,3.04,2.32,NA,NA,12.7,6.24,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,12,NA,"18-09-2024 13:51",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:10.T:Low acid DFC.R:2.R2:.T:2024-09-18 13:51:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",81.2,NA,0.253,0.343,0.401,1.04,2.29,3.71,5.14,NA,6.67,6.67,NA,0.253,0.343,0.401,1.04,2.29,3.71,5.14,NA,6.67,6.67,NA,0.00312,0.00422,0.00493,0.0128,0.0282,0.0457,0.0633,NA,0.0822,0.0822,NA,0,0,0,0,0,0,0,NA,0,0,NA,19.9,18.4,15.6,14.2,14.3,14.4,14.3,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,112,54,2.53,0.000799,0.0649,1.2,2.53,2.53,134,2024-09-18 13:51:00,2024-09-24 01:31:00,2,NA,2,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3347,3351,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","11","2",2024-09-18 13:59:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","Medium acid DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:11.T:Medium acid DFC.R:2.R2:.T:2024-09-18 13:59:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","Acidification",NA,NA,2.23,NA,2.74,2.51,NA,NA,12.7,5.57,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,13,NA,"18-09-2024 13:59",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:11.T:Medium acid DFC.R:2.R2:.T:2024-09-18 13:59:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",87.8,NA,0.101,0.143,0.127,0.56,1.42,2.34,3.3,NA,4.46,4.46,NA,0.101,0.143,0.127,0.56,1.42,2.34,3.3,NA,4.46,4.46,NA,0.00114,0.00163,0.00144,0.00637,0.0161,0.0266,0.0375,NA,0.0507,0.0507,NA,0,0,0,0,0,0,0,NA,0,0,NA,19.6,18.3,15.5,14.2,14.3,14.3,14.2,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,165,53,2.53,0.000261,0.0229,2.52,2.53,2.53,134,2024-09-18 13:59:00,2024-09-24 01:39:00,2,NA,2,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3348,3352,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","12","3",2024-09-18 12:30:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","Machine plot DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:12.T:Machine plot DFC.R:3.R2:.T:2024-09-18 12:30:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","None",NA,NA,1.96,NA,2.96,2.49,NA,NA,12.7,7.59,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,14,NA,"18-09-2024 12:30",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:12.T:Machine plot DFC.R:3.R2:.T:2024-09-18 12:30:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",87.2,NA,0.446,0.559,0.683,1.91,3.89,6.19,8.27,NA,10.1,10.1,NA,0.446,0.559,0.683,1.91,3.89,6.19,8.27,NA,10.1,10.1,NA,0.00511,0.00641,0.00784,0.0219,0.0447,0.071,0.0949,NA,0.116,0.116,NA,0,0,0,0,0,0,0,NA,0,0,NA,19.6,18.3,15.5,14.2,14.2,14.4,14.2,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,218,53,2.53,0.00153,0.133,2.52,2.53,2.53,134,2024-09-18 14:07:00,2024-09-24 01:47:00,2,NA,2,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3349,3353,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","13","2",2024-09-18 14:15:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","High acid DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:13.T:High acid DFC.R:2.R2:.T:2024-09-18 14:15:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","Acidification",NA,NA,2.73,NA,2.42,2.46,NA,NA,12.6,4.65,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,15,NA,"18-09-2024 14:15",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:13.T:High acid DFC.R:2.R2:.T:2024-09-18 14:15:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",86.1,NA,0.168,0.227,0.268,1.04,2.29,3.61,4.85,NA,6.26,6.26,NA,0.168,0.227,0.268,1.04,2.29,3.61,4.85,NA,6.26,6.26,NA,0.00195,0.00264,0.00312,0.0121,0.0266,0.042,0.0563,NA,0.0727,0.0727,NA,0,0,0,0,0,0,0,NA,0,0,NA,19.6,18.3,15.5,14.4,14.4,14.3,14.2,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,271,53,2.53,0.000534,0.046,2.52,2.53,2.53,134,2024-09-18 14:15:00,2024-09-24 01:55:00,2,NA,2,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3350,3354,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","14","3",2024-09-18 14:23:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","No acid DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:14.T:No acid DFC.R:3.R2:.T:2024-09-18 14:23:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","Acidification",NA,NA,2.01,NA,2.92,2.36,NA,NA,12.8,7.2,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,16,NA,"18-09-2024 14:23",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:14.T:No acid DFC.R:3.R2:.T:2024-09-18 14:23:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",82.6,NA,0.241,0.307,0.358,1.15,2.31,3.72,4.84,NA,6.07,6.07,NA,0.241,0.307,0.358,1.15,2.31,3.72,4.84,NA,6.07,6.07,NA,0.00292,0.00372,0.00433,0.0139,0.0279,0.045,0.0586,NA,0.0735,0.0735,NA,0,0,0,0,0,0,0,NA,0,0,NA,19.6,17.4,15.2,14.3,14.3,14.4,14.3,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,324,53,2.53,0.000871,0.072,2.52,2.53,2.53,134,2024-09-18 14:23:00,2024-09-24 02:03:00,2,NA,2,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3351,3355,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","15","3",2024-09-18 14:31:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","Low acid DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:15.T:Low acid DFC.R:3.R2:.T:2024-09-18 14:31:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","Acidification",NA,NA,2.02,NA,3.04,2.32,NA,NA,12.7,6.24,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,17,NA,"18-09-2024 14:31",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:15.T:Low acid DFC.R:3.R2:.T:2024-09-18 14:31:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",81.2,NA,0.263,0.322,0.36,1.2,2.41,3.7,4.97,NA,6.35,6.35,NA,0.263,0.322,0.36,1.2,2.41,3.7,4.97,NA,6.35,6.35,NA,0.00324,0.00397,0.00443,0.0148,0.0297,0.0456,0.0613,NA,0.0782,0.0782,NA,0,0,0,0,0,0,0,NA,0,0,NA,19.6,17.4,15.2,14.3,14.3,14.4,14.3,14.3,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,377,53,2.53,0.00103,0.0836,2.52,2.53,2.53,134,2024-09-18 14:31:00,2024-09-24 02:11:00,2,NA,2,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3352,3356,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","17","3",2024-09-18 14:47:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","Medium acid DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:17.T:Medium acid DFC.R:3.R2:.T:2024-09-18 14:47:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","Acidification",NA,NA,2.23,NA,2.74,2.51,NA,NA,12.7,5.57,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,18,NA,"18-09-2024 14:47",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:17.T:Medium acid DFC.R:3.R2:.T:2024-09-18 14:47:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",87.8,NA,0.166,0.219,0.28,1.18,2.55,4.04,5.42,NA,7.24,7.24,NA,0.166,0.219,0.28,1.18,2.55,4.04,5.42,NA,7.24,7.24,NA,0.00189,0.00249,0.00318,0.0134,0.029,0.046,0.0617,NA,0.0824,0.0824,NA,0,0,0,0,0,0,0,NA,0,0,NA,19.6,17.4,15.2,14.5,14.3,14.4,14.4,14.3,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,430,53,2.53,0.000575,0.0505,2.52,2.53,2.53,134,2024-09-18 14:47:00,2024-09-24 02:27:00,2,NA,2,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3353,3357,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","18","4",2024-09-18 12:30:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","Machine plot DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:18.T:Machine plot DFC.R:4.R2:.T:2024-09-18 12:30:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","None",NA,NA,1.96,NA,2.96,2.49,NA,NA,12.7,7.59,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,19,NA,"18-09-2024 12:30",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:18.T:Machine plot DFC.R:4.R2:.T:2024-09-18 12:30:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",87.2,NA,0.504,0.616,0.821,2.31,4.51,7.37,9.73,NA,11.6,11.6,NA,0.504,0.616,0.821,2.31,4.51,7.37,9.73,NA,11.6,11.6,NA,0.00579,0.00707,0.00943,0.0265,0.0517,0.0846,0.112,NA,0.133,0.133,NA,0,0,0,0,0,0,0,NA,0,0,NA,18.6,17,14.8,14.3,14.3,14.4,14.3,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,483,53,2.53,0.00188,0.164,2.52,2.53,2.53,134,2024-09-18 14:55:00,2024-09-24 02:35:00,2,NA,2,NA,NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3354,3358,609
"UNITO DISAFA","AM.VOC","Fall24","Foulumgård","19","3",2024-09-18 15:03:00,3,"../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx","High acid DFC","Dynamic chamber",NA,NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:19.T:High acid DFC.R:3.R2:.T:2024-09-18 15:03:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.23,NA,NA,NA,1.1,NA,"No","pig",NA,NA,"slurry","Acidification",NA,NA,2.73,NA,2.42,2.46,NA,NA,12.6,4.65,NA,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"grass",15,NA,NA,NA,20,NA,"18-09-2024 15:03",NA,"D:1.I:UNITO DISAFA.Pr:AM.VOC.F:../../data-submitted/03/UNITO-DISAFA/ALFAM2_AM.VOC_jk_jp_fd.xlsx.E:Fall24.F:Foulumgård.P:19.T:High acid DFC.R:3.R2:.T:2024-09-18 15:03:00","D:1.I:UNITO DISAFA.Pr:AM.VOC.E:Fall24","","Dela Pierre, Flavia",86.1,NA,0.0129,0.0298,0.0259,0.773,1.86,3.08,4.19,NA,5.56,5.56,NA,0.0129,0.0298,0.0259,0.773,1.86,3.08,4.19,NA,5.56,5.56,NA,0.000149,0.000346,0.000301,0.00898,0.0216,0.0358,0.0486,NA,0.0646,0.0646,NA,0,0,0,0,0,0,0,NA,0,0,NA,18.6,17,14.8,14.3,14.2,14.4,14.3,14.3,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,536,53,2.53,2.38e-05,0.00205,2.52,2.53,2.53,134,2024-09-18 15:03:00,2024-09-24 02:43:00,2,NA,2,NA,NA,NA,NA,NA,TRUE,"Dynamic chamber","chamber","Grass","Band spread or trailing hose","None","Pig",2024-09-18,"",NA,306,3355,3359,609
